date,n_full,sum_sd,sum_var,ew_ret_full
2019-06-03,3564,119.40246999027225,4.275703214986647,-0.014375409888430595
2019-06-04,3565,119.05693972785537,4.25063198313055,-0.01582226283528968
2019-06-05,3565,118.3230644810319,4.200206116884649,0.0015072035769905447
2019-06-06,3568,116.27314937588676,4.072717433193108,-0.02449828826359269
2019-06-10,3564,114.21323528802861,3.946479452812088,0.011112409850296845
2019-06-11,3565,114.78726505987753,3.9805010467881146,0.03593481354364302
2019-06-12,3565,113.97918834161698,3.9283514503888504,-0.0035068681192545526
2019-06-13,3566,113.00198064171822,3.8650575256941475,0.0074299521905212594
2019-06-14,3567,112.93261987372274,3.8635270275822973,-0.02155373686755093
2019-06-17,3567,112.2786914214606,3.8279028938937576,0.000772885145085075
2019-06-18,3568,112.0399300665257,3.8094321910490203,-0.0008080118073350197
2019-06-19,3568,112.01970982086065,3.8076334636438585,0.013994969704698249
2019-06-20,3570,112.16756078034891,3.8136985358331437,0.015191944592528218
2019-06-21,3570,112.30570847785957,3.8246632572620816,0.019310550343768756
2019-06-24,3575,112.01942070194396,3.806350560538335,-0.000458568932570361
2019-06-25,3575,111.14180398746232,3.7521613812428796,-0.008883589175654443
2019-06-26,3575,110.76414356774977,3.7314981016441253,3.0220463888586783e-05
2019-06-27,3577,110.35579701495897,3.7038804755034462,0.006360946593174016
2019-06-28,3581,109.61081351358108,3.6593042456298916,-0.01324106247891194
2019-07-01,3580,109.07028565958728,3.6295193832207158,0.02840981455598413
2019-07-02,3581,108.80232883050292,3.609857874322536,0.00041751451735806954
2019-07-03,3580,108.32883935450332,3.5823704950373694,-0.009582224471455536
2019-07-04,3577,107.9092488324591,3.5574968852516076,-0.0031709766853083594
2019-07-05,3580,107.24538546049129,3.5133066539885887,0.003510806043916658
2019-07-08,3577,107.76760075199918,3.5463351291380514,-0.03449460988449148
2019-07-09,3573,107.18503032369452,3.5106685397977135,0.003739276238060435
2019-07-10,3576,106.67998308028416,3.480477225458998,-0.006292659730505676
2019-07-11,3576,106.33592044946433,3.4606444438833233,0.0007559038716968339
2019-07-12,3580,106.27584767520482,3.451429149925785,0.0030573761186864336
2019-07-15,3581,105.88421491839364,3.4236201625786786,0.008831531677297331
2019-07-16,3582,105.4886467747745,3.3951014158911104,0.0031276124055901033
2019-07-17,3582,105.23515363830293,3.379674747460008,0.0002401998811882177
2019-07-18,3584,105.22163450690515,3.3763248306482687,-0.017930588187099573
2019-07-19,3583,104.7128456413532,3.344495644592244,0.005551817011789413
2019-07-22,3585,104.87660903155738,3.3543513566175287,-0.028586066430690327
2019-07-23,3585,104.76439967398213,3.3472149028969,0.012842508334443547
2019-07-24,3584,102.97015229420646,3.2457785819938096,0.012468920511381635
2019-07-25,3587,102.29232941279594,3.2008351443694982,0.0028607206819787714
2019-07-26,3586,99.979479385328,3.060579366231325,0.0008092257483295664
2019-07-29,3587,99.16414351758708,3.0112138677190488,-0.0006751610053619305
2019-07-30,3586,91.94294332652215,2.646914203866369,0.004932014727715797
2019-07-31,3589,91.2056492472099,2.6052171796062504,-0.0064284496676645635
2019-08-01,3590,90.85434341974981,2.584296478509802,-0.003575936297363729
2019-08-02,3592,90.89112081772865,2.582573920233995,-0.016245716464450145
2019-08-05,3592,89.49563212941909,2.508604295845913,-0.010986793803121151
2019-08-06,3593,90.34505519780895,2.5458216810220304,-0.02846466131576257
2019-08-07,3593,90.27994064081443,2.5443283021192995,-0.002776016884902217
2019-08-08,3593,89.69436069751633,2.5189330996176116,0.006301065339600086
2019-08-09,3594,89.46928289006998,2.5035251270816183,-0.011254957393873234
2019-08-12,3594,87.91194450489232,2.4262608549581186,0.016635132437637885
2019-08-13,3594,87.21693789201242,2.3877265490520476,-0.005452324683273958
2019-08-14,3594,86.73776071823741,2.3678084836119315,0.006134757669827525
2019-08-15,3600,86.73610571122863,2.3633047331203834,0.0031087634610590473
2019-08-16,3599,85.81397925136802,2.3110582164168583,0.0045161430240209756
2019-08-19,3596,86.64526472549505,2.342831357546326,0.030365746680179873
2019-08-20,3596,85.70427593382497,2.2957044073235746,0.002611534495824185
2019-08-21,3596,85.65337858195667,2.291616042502055,0.0011087196878522933
2019-08-22,3596,85.65473157639053,2.289113104427033,0.004465146063238238
2019-08-23,3596,85.54238984398641,2.2842453488057175,-0.002415488010902685
2019-08-26,3596,85.55711907921727,2.278612568434347,-0.0072717977701357486
2019-08-27,3597,85.42409204296304,2.2653779026368683,0.018762461843157673
2019-08-28,3598,84.99923803431936,2.2416363871262175,9.470893578065432e-05
2019-08-29,3598,84.89556347448733,2.236492097511114,-0.0006368527771122178
2019-08-30,3601,84.30835655761867,2.203272451728924,-0.01457355638158096
2019-09-02,3602,84.68858103545523,2.2147853725299345,0.02369892285049418
2019-09-03,3603,83.08044071657238,2.1426122667685177,0.006330428841314452
2019-09-04,3602,83.01484916074136,2.1375322060865845,0.008081798761235947
2019-09-05,3604,82.92922262229584,2.13244393628619,0.009040604567015172
2019-09-06,3603,82.07173977515956,2.0907520653753,0.004314354939058465
2019-09-09,3605,82.4941408276892,2.111926580275284,0.020473156138905647
2019-09-10,3603,82.4982832682729,2.114153380462796,0.002402919389784706
2019-09-11,3604,82.4115220809331,2.108990340516584,-0.005515685502009925
2019-09-12,3606,82.09577978771898,2.097576478241287,0.00642351786755441
2019-09-16,3606,81.42533917664915,2.0601833920985877,0.0037519893220757743
2019-09-17,3608,82.08990757621588,2.0855398278776525,-0.02224180223345728
2019-09-18,3608,81.90386669318235,2.076559406287237,0.0016012710984964814
2019-09-19,3607,81.86666361396323,2.0747863159130993,0.010552020780214116
2019-09-20,3610,81.96537019731056,2.077083476753271,0.000977501454268213
2019-09-23,3608,81.77821427352917,2.065017379120614,-0.008430632972416264
2019-09-24,3607,80.77784411193646,2.0192869825972677,0.0022679604938101567
2019-09-25,3608,81.35726505085943,2.048441222721816,-0.018471373988578947
2019-09-26,3606,82.42045670290146,2.108062966224326,-0.026936832158352762
2019-09-27,3608,82.8057405712486,2.131539646836867,0.00905535030225102
2019-09-30,3611,83.01651338045072,2.1375849430368086,-0.01039135913613364
2019-10-08,3607,81.28285780939405,2.0647029013049254,0.002011589798770072
2019-10-09,3607,81.36020182820342,2.0670262787328375,0.00948271136737169
2019-10-10,3608,81.46354394292017,2.0694679736812094,0.012246272577864063
2019-10-11,3611,81.66216915607421,2.081172600065047,0.0022127774193895704
2019-10-14,3612,81.92761526019464,2.0937236502560537,0.015125461104439972
2019-10-15,3614,82.19052561191295,2.109051860109637,-0.010580131292797937
2019-10-16,3614,82.30157070503266,2.113375266984801,-0.006202024370040986
2019-10-17,3613,82.26035140891412,2.1115634051878964,-0.0017888417547945452
2019-10-18,3615,82.23317184285638,2.1131180112240058,-0.012267406118154148
2019-10-21,3637,87.16147616654608,3.2218078028327164,-0.0036539980481872045
2019-10-22,3638,82.50113198610138,2.1381197775895395,0.010823059285476711
2019-10-23,3640,82.42741834098759,2.1296408434818757,-0.005352284399920234
2019-10-24,3642,82.40939475076983,2.1237006015418185,-0.0007626844114065665
2019-10-25,3643,82.60531585031893,2.1339992319185863,0.005936932755405088
2019-10-28,3644,83.35363203761709,2.1698831443139963,0.017556633631475763
2019-10-29,3645,83.90207722503615,2.197250515666512,-0.014393787932662591
2019-10-30,3642,84.34841838664964,2.2193776718148,-0.012961429407258763
2019-10-31,3642,84.71456023767925,2.2390750626334177,-0.011560182989847139
2019-11-01,3642,84.82258952449884,2.242332279323029,0.009564896431305692
2019-11-04,3645,84.43975117185074,2.225168680620203,0.0027133817385699777
2019-11-05,3647,84.17918917012295,2.2119418961192334,0.0009748802489824361
2019-11-06,3642,82.46639944440784,2.139642498086472,-0.008724686899134736
2019-11-07,3649,82.98911735764655,2.3664231366999315,0.006262949882614022
2019-11-08,3651,82.4143772166939,2.13656268740117,-0.0021163443587742087
2019-11-11,3653,83.70401130844994,2.3942982338346543,-0.025375694260926875
2019-11-12,3655,82.94646176394613,2.151812538130727,0.0034135209974924174
2019-11-13,3649,82.773341046953,2.1471063834654074,-0.003864337377962253
2019-11-14,3653,82.88220881241534,2.1519232643559674,0.005809902109391707
2019-11-15,3652,83.19657202927029,2.167088291680845,-0.012508945738882761
2019-11-18,3655,83.3030948713551,2.169563118540054,0.007161490427303154
2019-11-19,3654,82.28159081246712,2.1255468278896115,0.017260993040541774
2019-11-20,3653,82.23618297279039,2.124517169384965,-0.006052601840118152
2019-11-21,3654,82.08717324350737,2.117233790591361,-0.0003355108585991127
2019-11-22,3656,82.26839239523339,2.1281133684959963,-0.008061875124154579
2019-11-25,3659,82.74718739387858,2.150295114633248,-0.0025309761495690398
2019-11-26,3658,82.39226348586753,2.13178917013387,-0.0012135150443473167
2019-11-27,3659,81.91709997428515,2.114713276014325,-0.0014969874521644875
2019-11-28,3656,81.49606616129002,2.0923936668293854,-0.0030948486017623646
2019-11-29,3657,81.35845836541314,2.086600751722881,0.0012263682687671004
2019-12-02,3654,80.6971708727211,2.0551555332281475,0.0012302791475796062
2019-12-03,3656,79.82409539994592,2.015811778599624,0.006503542090246903
2019-12-04,3653,79.5275178886724,2.0004096511141354,0.0016281411546995954
2019-12-05,3656,79.45763449011694,2.000800948671408,0.009625167818762935
2019-12-06,3656,79.58035649230801,2.071455696440554,0.006487393904747391
2019-12-09,3656,79.22626878859613,1.9899213515008982,0.0031071725605820747
2019-12-10,3654,78.50781278714234,1.956148794240218,0.004639295320042614
2019-12-11,3655,78.35521597929747,1.9479726301942488,-0.0024117854087806765
2019-12-12,3657,78.24845295888984,1.941349125108476,-0.002164813108699314
2019-12-13,3660,78.47713441393164,1.9478555186805888,0.011470416473247962
2019-12-16,3663,78.95019465178342,1.969112206438636,0.01620390432942481
2019-12-17,3661,78.17678461053714,1.9352753261823943,0.012612396783618965
2019-12-18,3661,78.0981568870332,1.9338636210254139,0.002315919597096572
2019-12-19,3661,78.08914643261303,1.9378046239080242,0.006858954503890451
2019-12-20,3659,78.18616183240478,1.9430372411724262,-0.008519429787971993
2019-12-23,3662,78.74279404051646,1.9689823576399135,-0.020516160706373483
2019-12-24,3666,79.4653048600405,2.0697275149398653,0.01622203100887999
2019-12-25,3663,78.33977407886685,1.9486660324876166,0.002834995376739624
2019-12-26,3664,76.918907679544,1.8825047914991568,0.008710226526374631
2019-12-27,3668,77.22543745974536,1.940093146772112,-0.006078022848941878
2019-12-30,3668,76.90584577025862,1.8753944222334562,0.00509122026109991
2019-12-31,3668,76.67025858336098,1.8620514401701802,0.005603703844646569
2020-01-02,3667,76.88107277577605,1.8712981509552882,0.018346642274684105
2020-01-03,3668,76.90255236960066,1.8716243018369176,0.00534036051775312
2020-01-06,3668,77.23669762282165,1.893704616264535,0.007386279270016374
2020-01-07,3669,77.31177621245502,1.8915667119874455,0.013316147263125543
2020-01-08,3668,77.46350970707795,1.8944747654678034,-0.013294658795570739
2020-01-09,3667,77.6845536497869,1.902409210399755,0.015169671463803195
2020-01-10,3666,77.80848073276978,1.9119667715742596,-0.0026608712952776283
