underlying,theta,exposure,sharpe_full,ann_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
1000｜中证1000（现役分量）,-0.7,0.9556858911697621,0.2746776325069947,0.0723680314868844,3.9915281850765725,0.2947998652818477,-0.06497034816413455,0.48270061037958933,-0.06497034816413455
1000｜中证1000（现役分量）,-0.65,0.9263603779732812,0.2728057477517466,0.07121789017979081,5.109156076898012,0.2616641288798,0.10455585052365454,0.4290387816284376,0.10455585052365454
1000｜中证1000（现役分量）,-0.6,0.8914956011730205,0.26824247017097125,0.06917453028910107,6.386445096122515,0.33730087139295994,0.06522798293489904,0.22082791870237328,0.06522798293489904
1000｜中证1000（现役分量）,-0.55,0.8582600195503421,0.41862172422424965,0.10493449297026089,7.025089605734767,0.3827326917058347,0.37891239464816556,0.5627455656174176,0.37891239464816556
1000｜中证1000（现役分量）,-0.5,0.8331704138155751,0.4031471493444028,0.09954196689463789,7.823395242750082,0.4068851832898283,0.4136679973414619,0.3859079153558035,0.4068851832898283
1000｜中证1000（现役分量）,-0.45,0.7963506028022157,0.5543037839596018,0.13221711145169326,9.260345389377648,0.5944925315009572,0.5026278689879654,0.48585429048941764,0.5026278689879654
1000｜中证1000（现役分量）,-0.4,0.7627891821440208,0.5617731893572713,0.130019686239928,9.100684261974585,0.6448039887394763,0.5534108506212556,0.33432838400173603,0.5534108506212556
1000｜中证1000（现役分量）,-0.35,0.7344411860540893,0.6523123655739234,0.1481244902401172,9.42000651678071,0.6618688872865869,0.6721557301264227,0.6250835763238269,0.6618688872865869
1000｜中证1000（现役分量）,-0.3,0.7047898338220919,0.6861226328127414,0.15158495045917464,9.8989898989899,0.7391653672565994,0.6669024568912848,0.5626531722949905,0.6669024568912848
1000｜中证1000（现役分量）,-0.25,0.6679700228087325,0.8564668029109124,0.18381767864010767,11.01661779081134,0.7845250283543791,1.1339613516942595,0.879499593560692,0.7845250283543791
1000｜中证1000（现役分量）,-0.2,0.6288693385467579,0.9544647155219504,0.1970533793133648,10.377973281199088,0.8777319964856429,0.9379767046231662,1.2300354799934308,0.8777319964856429
1000｜中证1000（现役分量）,-0.15,0.5956337569240795,1.075271218950488,0.2125182098440756,9.739328771586836,1.024313613650443,0.8816853217756058,1.4030035294427052,0.8816853217756058
1000｜中证1000（现役分量）,-0.1,0.5689149560117303,1.2300260801018086,0.23430625559448923,9.8989898989899,1.2353270512808763,0.9081317339968298,1.4933433726693224,0.9081317339968298
1000｜中证1000（现役分量）,-0.05,0.5395894428152492,1.3009563436791303,0.2382637206167236,10.377973281199088,1.3617142962328093,0.9772009500039021,1.4104859153702702,0.9772009500039021
1000｜中证1000（现役分量）,0.0,0.49006190941674815,1.4026131351248539,0.2393471034371936,10.617464972303683,1.4651155757263699,0.956993177366898,1.6013626560943208,0.956993177366898
1000｜中证1000（现役分量）,0.05,0.45324209840338875,1.2903682192634576,0.21346462427504986,10.777126099706745,1.2663438041306263,0.8489658812131609,1.6906229745077281,0.8489658812131609
1000｜中证1000（现役分量）,0.1,0.42196155099380905,1.0930148563033157,0.1761031865322034,10.777126099706745,1.0883533963514729,0.6465831565911317,1.4432724734445361,0.6465831565911317
1000｜中证1000（现役分量）,0.15,0.3890518084066471,1.1684471268181105,0.18176926618205616,10.298142717497555,1.108605304706426,0.7537558953370147,1.6248480461081725,0.7537558953370147
1000｜中证1000（现役分量）,0.2,0.35614206581948515,1.1857509543056608,0.1773662855596452,9.97882046269143,1.2274503868981925,0.8858658933991846,1.3130967326293026,0.8858658933991846
1000｜中证1000（现役分量）,0.25,0.3255131964809384,1.1720669823661178,0.16809038934028808,9.659498207885305,1.2878670373154049,0.6688248333400915,1.2855513625761823,0.6688248333400915
1000｜中证1000（现役分量）,0.3,0.29488432714239166,1.133645434954198,0.15624159495349288,9.180514825676116,1.2544012070985677,0.5177285689394205,1.3226038091815018,0.5177285689394205
1000｜中证1000（现役分量）,0.35,0.260019550342131,1.224915630288471,0.15943978707622866,9.100684261974585,1.286042508006067,0.879987036106204,1.3531253511730283,0.879987036106204
1000｜中证1000（现役分量）,0.4,0.2287390029325513,1.1179752622073762,0.13425639997310634,8.462039752362333,1.4073636129021847,0.40239872246717057,0.9860606597567084,0.40239872246717057
1000｜中证1000（现役分量）,0.45,0.19876181166503748,1.1919885413858091,0.13550541802434804,8.30237862495927,1.4544068423106256,0.8101784811015281,0.8495614904173809,0.8101784811015281
1000｜中证1000（现役分量）,0.5,0.162593678722711,0.918077477632569,0.0897755339198146,7.983056370153145,1.0939074468640533,0.6813641788546907,0.7144364791930555,0.6813641788546907
1000｜中证1000（现役分量）,0.55,0.12512218963831867,0.7006708789801738,0.06156666311637527,7.823395242750082,0.842259828966684,0.6769647574362991,0.40269213121150405,0.6769647574362991
1000｜中证1000（现役分量）,0.6,0.093841642228739,0.7096070011431322,0.05497383636317018,6.386445096122515,0.816551822314974,0.25991409872847243,0.8823941062349266,0.25991409872847243
1000｜中证1000（现役分量）,0.65,0.06093189964157706,0.29022305112970986,0.018858064709640146,5.428478331704138,0.40410497153952907,0.07058094189862321,0.2187202223834399,0.07058094189862321
1000｜中证1000（现役分量）,0.7,0.027696318018898665,0.09317871315447715,0.004430113763079504,2.873900293255132,0.10572997671495227,-0.5298451320098155,0.44557386876139365,-0.5298451320098155
2000｜中证2000（微盘代理）,-1.0,1.0,0.47248343411050703,0.13101812322941914,0.0,0.5123849457655041,0.2777652670719764,0.5185411629010774,0.2777652670719764
2000｜中证2000（微盘代理）,-0.7,0.9556858911697621,0.5009804809018634,0.1363375823920825,3.9915281850765725,0.472013832095416,0.29004401077201347,0.7320241865383016,0.29004401077201347
2000｜中证2000（微盘代理）,-0.65,0.9263603779732812,0.4882328681039544,0.13150751534414376,5.109156076898012,0.4424385624894318,0.4409400377636149,0.6381479277779282,0.4409400377636149
2000｜中证2000（微盘代理）,-0.6,0.8914956011730205,0.455224999339059,0.12073567183779248,6.386445096122515,0.5202692205042198,0.3632390867404471,0.35241051203470514,0.3632390867404471
2000｜中证2000（微盘代理）,-0.55,0.8582600195503421,0.6075762585232698,0.156201044960466,7.025089605734767,0.5744106854258115,0.6890342851178407,0.642030693440779,0.5744106854258115
2000｜中证2000（微盘代理）,-0.5,0.8331704138155751,0.5860265218310893,0.148568625447748,7.823395242750082,0.6043454279905693,0.6391320722844971,0.5029602823953179,0.6043454279905693
2000｜中证2000（微盘代理）,-0.45,0.7963506028022157,0.744883128304216,0.18187023860232182,9.260345389377648,0.8181602156716169,0.7186807522433034,0.5832190361858528,0.7186807522433034
2000｜中证2000（微盘代理）,-0.4,0.7627891821440208,0.7142950548972509,0.16938532702283327,9.100684261974585,0.8499667952628529,0.7201061235076871,0.36416322370116455,0.7201061235076871
2000｜中证2000（微盘代理）,-0.35,0.7344411860540893,0.7935652709971479,0.18435161835007255,9.42000651678071,0.8552946966906685,0.8370633935006989,0.6118533494710388,0.8370633935006989
2000｜中证2000（微盘代理）,-0.3,0.7047898338220919,0.8342301797209514,0.18828056082533023,9.8989898989899,0.9205078134220896,0.8819669798160076,0.5865030957872094,0.8819669798160076
2000｜中证2000（微盘代理）,-0.25,0.6679700228087325,1.0054769512813535,0.21944493796142875,11.01661779081134,0.9452056431439713,1.3903618559978421,0.9062765062468958,0.9452056431439713
2000｜中证2000（微盘代理）,-0.2,0.6288693385467579,1.0918511147106176,0.22905585438246287,10.377973281199088,1.022925052454916,1.1700027590079225,1.2622575736358697,1.022925052454916
2000｜中证2000（微盘代理）,-0.15,0.5956337569240795,1.200216953321466,0.24128279702042368,9.739328771586836,1.1748074046517418,1.0393842269539662,1.4258146835954697,1.0393842269539662
2000｜中证2000（微盘代理）,-0.1,0.5689149560117303,1.3469640490965666,0.26106949924959855,9.8989898989899,1.3867337321332458,1.0752110133139716,1.484417978717754,1.0752110133139716
2000｜中证2000（微盘代理）,-0.05,0.5395894428152492,1.4182744766230426,0.26426052362230995,10.377973281199088,1.513867280817526,1.1400518018309789,1.4203657691184677,1.1400518018309789
2000｜中证2000（微盘代理）,0.0,0.49006190941674815,1.539804269266038,0.26682746772291405,10.617464972303683,1.6234997284219497,1.0735146556278568,1.7217608846336467,1.0735146556278568
2000｜中证2000（微盘代理）,0.05,0.45324209840338875,1.431346037742793,0.2405729797674756,10.777126099706745,1.4277055582491474,1.0458944404618917,1.7526744231213718,1.0458944404618917
2000｜中证2000（微盘代理）,0.1,0.42196155099380905,1.245034211324354,0.2035110497710761,10.777126099706745,1.2406125933083518,0.8951699503356485,1.5344949627505526,0.8951699503356485
2000｜中证2000（微盘代理）,0.15,0.3890518084066471,1.3227437610727237,0.20854014977102203,10.298142717497555,1.2490668148592687,1.0448152350168494,1.7159123474927207,1.0448152350168494
2000｜中证2000（微盘代理）,0.2,0.35614206581948515,1.3005683288031327,0.19722212897830252,9.97882046269143,1.3225660293591026,1.133039616393775,1.3910863039285817,1.133039616393775
2000｜中证2000（微盘代理）,0.25,0.3255131964809384,1.2490887436599112,0.18190317000683542,9.659498207885305,1.364330869528629,0.8207216273288087,1.3311097719891414,0.8207216273288087
2000｜中证2000（微盘代理）,0.3,0.29488432714239166,1.1516730619133013,0.16169794268996945,9.180514825676116,1.2836902012369908,0.5817746818640032,1.3080578888986585,0.5817746818640032
2000｜中证2000（微盘代理）,0.35,0.260019550342131,1.227475394119909,0.16294808437162328,9.100684261974585,1.2893875010190556,0.9404317413362314,1.3354160096491587,0.9404317413362314
2000｜中证2000（微盘代理）,0.4,0.2287390029325513,1.1587527613258177,0.142202222782783,8.462039752362333,1.3904209128939389,0.6391958717980271,1.054684795331257,0.6391958717980271
2000｜中证2000（微盘代理）,0.45,0.19876181166503748,1.2506158197699153,0.14561983493518132,8.30237862495927,1.4796012999092152,1.0431172766044476,0.9112047925812996,1.0431172766044476
2000｜中证2000（微盘代理）,0.5,0.162593678722711,0.9861262826280757,0.09927098429319836,7.983056370153145,1.1313674084968184,0.8257299642441283,0.8256869604382123,0.8257299642441283
2000｜中证2000（微盘代理）,0.55,0.12512218963831867,0.7922533648289435,0.07203173736904844,7.823395242750082,0.9074270436248266,0.741735268393313,0.6161000943901924,0.741735268393313
2000｜中证2000（微盘代理）,0.6,0.093841642228739,0.8068757586518271,0.06439002812592344,6.386445096122515,0.8199289385782635,0.45336667646154355,1.1284721348479,0.45336667646154355
2000｜中证2000（微盘代理）,0.65,0.06093189964157706,0.3938415970093121,0.02661083081135933,5.428478331704138,0.42955889019221843,0.25482956892301384,0.4471846656767749,0.25482956892301384
2000｜中证2000（微盘代理）,0.7,0.027696318018898665,0.16596839437018185,0.008041881623050404,2.873900293255132,0.1375149708945146,-0.6090204904537415,0.7662536050697545,-0.6090204904537415
div｜中证红利,-1.0,1.0,0.4509687208708433,0.0912784648718527,0.0,0.555472219753325,0.23665742322597336,0.29960671809844436,0.23665742322597336
div｜中证红利,-0.7,0.9556858911697621,0.4196151577296012,0.08353036463582188,3.9915281850765725,0.5235677167544213,0.2334871098096688,0.22857072978737072,0.2334871098096688
div｜中证红利,-0.65,0.9263603779732812,0.36151572308530416,0.07123415994865723,5.109156076898012,0.45325712593659945,0.14471466203945021,0.2421004038628305,0.14471466203945021
div｜中证红利,-0.6,0.8914956011730205,0.37481257462594725,0.07282671314943102,6.386445096122515,0.5150447626345671,0.07512094456755822,0.15164053241350042,0.07512094456755822
div｜中证红利,-0.55,0.8582600195503421,0.4816837054813306,0.0910975487796373,7.025089605734767,0.5893590524406043,0.31535371636032006,0.24843903147954274,0.31535371636032006
div｜中证红利,-0.5,0.8331704138155751,0.5065820805358757,0.09429878590496574,7.823395242750082,0.6277768853687877,0.27897919586359027,0.2884665541775885,0.27897919586359027
div｜中证红利,-0.45,0.7963506028022157,0.5756899116752567,0.10290689118381621,9.260345389377648,0.8286987904840325,0.05619902377701165,0.15718134025748168,0.05619902377701165
div｜中证红利,-0.4,0.7627891821440208,0.5449480260674586,0.09503397830807815,9.100684261974585,0.794935712630224,0.06649679014983574,0.08489893755740327,0.06649679014983574
div｜中证红利,-0.35,0.7344411860540893,0.526190265419951,0.09046924539878316,9.42000651678071,0.7421392550845459,0.09675334852041861,0.1403968354146432,0.09675334852041861
div｜中证红利,-0.3,0.7047898338220919,0.5069026766935777,0.08492307609010558,9.8989898989899,0.736968526613234,-0.05185833273980523,0.20715445210713723,-0.05185833273980523
div｜中证红利,-0.25,0.6679700228087325,0.6555815922171984,0.10712231120380215,11.01661779081134,0.777272964582726,0.259752316002126,0.6667018575520328,0.259752316002126
div｜中证红利,-0.2,0.6288693385467579,0.7021924992679149,0.10940339377861191,10.377973281199088,0.8622535943852754,0.1470675156230778,0.7354704801492079,0.1470675156230778
div｜中证红利,-0.15,0.5956337569240795,0.7028824004040234,0.10432826494674623,9.739328771586836,0.9104636129860058,0.03275709211291547,0.6729849229952886,0.03275709211291547
div｜中证红利,-0.1,0.5689149560117303,0.8018286407937647,0.11516351948678016,9.8989898989899,1.0761825409776626,0.07025803481916594,0.6056225848169563,0.07025803481916594
div｜中证红利,-0.05,0.5395894428152492,0.8674956657984635,0.11707104694360183,10.377973281199088,1.1492513439626453,0.10463996900014524,0.7011060300630564,0.10463996900014524
div｜中证红利,0.0,0.49006190941674815,0.8153392871131034,0.1016626552994775,10.617464972303683,1.1288959503354818,0.019745278514044604,0.632678101240218,0.019745278514044604
div｜中证红利,0.05,0.45324209840338875,0.6922778301563154,0.08364446845067833,10.777126099706745,0.9545971047162387,0.02882814947111741,0.5521858648750967,0.02882814947111741
div｜中证红利,0.1,0.42196155099380905,0.5318218233380091,0.06299877395852514,10.777126099706745,0.7984637491454325,-0.17900365931177278,0.4289236839774397,-0.17900365931177278
