date,factor_value_opt,position_opt,factor_value_incumbent,position_incumbent,index_close,index_ret
2024-09-04,0.5008673863810681,1,0.22566500779046605,1,220844.9063,-0.013812277058828815
2024-09-05,0.3748728884430052,1,0.32327813972237973,1,224303.875,0.015662433686839394
2024-09-06,0.20799758348654473,1,0.30802607378111563,1,219007.4219,-0.023612847080773824
2024-09-09,0.43414575477848005,1,0.35350419335713595,1,220884.3281,0.008570057506348094
2024-09-10,0.36678539385896336,1,0.40731974961563855,1,224150.1875,0.014785383046829192
2024-09-11,0.5715881874088133,1,0.49882331898858423,1,222619.8281,-0.0068273839833392636
2024-09-12,0.4596976087778635,1,0.5395972026122104,1,222302.875,-0.0014237415539537501
2024-09-13,0.18285409163890043,1,0.571603748730224,1,219296.0781,-0.013525677074576636
2024-09-18,-0.0674729050328553,1,0.5845772139482295,1,215880.1563,-0.015576757366551397
2024-09-19,0.25791565329791544,1,0.5890467774250242,1,222777.375,0.03194929454477147
2024-09-20,0.3622241928138448,1,0.5241845231709416,1,221678.4063,-0.004933035502370897
2024-09-23,0.23014819427292899,1,0.4722161686650631,1,222618.5938,0.004241222750075213
2024-09-24,0.11108304423067142,1,0.45166367887401665,1,229756.0,0.03206114133670357
2024-09-25,0.09335866892192846,1,0.383577463171187,1,233556.4531,0.01654125724681843
2024-09-26,0.05721105524574394,1,0.3383667733875287,1,240245.7344,0.028640961151845667
2024-09-27,0.34563850606328583,1,0.3865218325148146,1,251259.75,0.04584479149029175
2024-09-30,0.8003964410823406,1,0.46969073303574305,1,279519.125,0.11247075984116028
2024-10-08,0.9733937005111568,1,0.5786358748207636,1,301731.1875,0.07946526914750462
2024-10-09,0.96288340616563,1,0.7200426428405284,1,271676.125,-0.09960873699872341
2024-10-10,0.8384737875666717,1,0.7986619955628156,1,276722.3438,0.018574391842492544
2024-10-11,0.7003112546547905,1,0.7620730193994485,1,266950.9063,-0.035311342646990096
2024-10-14,0.7478721270125902,1,0.6940388070347353,1,275968.5625,0.03378020447649632
2024-10-15,0.7651204856255728,1,0.6192462979264468,1,273729.4375,-0.008113695921433073
2024-10-16,0.6345074474279905,1,0.49930478685595137,1,277018.0313,0.012014030460278713
2024-10-17,0.7042467207581002,1,0.43300511737637404,1,275425.5,-0.005748836249129696
2024-10-18,0.8702806783143284,1,0.43173982408789674,1,282731.4688,0.026526116136668332
2024-10-21,0.9061194454556526,1,0.46517143221695234,1,287090.3125,0.015416903249221958
2024-10-22,0.8801503148931588,1,0.483336544379066,1,292012.4688,0.017144975241893512
2024-10-23,0.8885112522839279,1,0.5539212694030222,1,293379.875,0.004682697987586915
2024-10-24,0.8579863642443232,1,0.6024778659968465,1,294331.0625,0.003242170240886466
2024-10-25,0.8636087843581979,1,0.6471963440753826,1,302598.3125,0.02808826880105464
2024-10-28,0.8492830016204952,1,0.6591091305488225,1,314384.3438,0.03894942837792592
2024-10-29,0.8353781189567907,1,0.6645562870121685,1,306108.8438,-0.026322875687679215
2024-10-30,0.8062235975634056,1,0.6693985040245038,1,305130.1875,-0.003197086003302152
2024-10-31,0.802637995865631,1,0.6783938242553244,1,311783.125,0.02180360309318785
2024-11-01,0.6906518740651159,1,0.5717955542967259,1,299812.5,-0.03839407601036782
2024-11-04,0.6483215661828974,1,0.40278635265411583,1,306298.7458,0.021634340796330864
2024-11-05,0.6311849447682988,1,0.15398520519113792,1,313613.0853,0.023879756611135283
2024-11-06,0.7049238563346525,1,-0.08360514892285369,0,316654.0453,0.009696534177108918
2024-11-07,0.5846902123807276,1,-0.27593645946570805,0,326044.0011,0.02965367390492002
2024-11-08,0.6340828350788732,1,-0.2965907213553903,0,326708.4209,0.0020378224956092428
2024-11-11,0.7207740617525615,1,-0.20408757426469984,0,335152.04,0.025844510149875877
2024-11-12,0.7422047525123551,1,-0.036830896900508794,0,334761.8056,-0.0011643503646880937
2024-11-13,0.6918801718418087,1,0.1475914889684014,1,337682.9653,0.00872608419220433
2024-11-14,0.5867291341750651,1,0.22921301723639886,1,328039.699,-0.028557159498504237
2024-11-15,0.34827903098562074,1,0.12518899284426577,1,322822.0109,-0.015905660552383405
2024-11-18,0.14906108289880102,1,-0.08939563198890194,0,313668.7712,-0.028353827777980567
2024-11-19,0.3578078842135919,1,-0.2641649830881455,0,320695.5475,0.022401899535990477
2024-11-20,0.4201630051102576,1,-0.4617034293399068,0,330271.1697,0.02985891844974886
2024-11-21,0.4339149149741496,1,-0.5817083549841142,0,333511.4181,0.009810872692712636
2024-11-22,0.4043222166251893,1,-0.6150695863865385,0,321545.0358,-0.03587997786754038
2024-11-25,0.45599613908509096,1,-0.5812214207382367,0,331541.5098,0.031088876788686548
2024-11-26,0.41084027031073833,1,-0.5812868305778245,0,330647.02,-0.002697972270620297
2024-11-27,0.5296002970810062,1,-0.5699879805975346,0,333653.0026,0.00909121334285734
2024-11-28,0.4825681716518918,1,-0.5776551728574336,0,338636.4698,0.014936077784902801
2024-11-29,0.32680819998931415,1,-0.5084284704959169,0,342732.3388,0.0120951798322817
2024-12-02,0.054228176337866904,1,-0.46226776240044193,0,350018.1982,0.021258161472330617
2024-12-03,-0.41146754653640044,0,-0.4408275307355461,0,352360.7991,0.006692797437524822
2024-12-04,-0.4009811762288872,0,-0.4459936067949396,0,347152.3146,-0.014781679781926793
2024-12-05,-0.18390014081303627,0,-0.4267217599048315,0,353236.9913,0.017527397756258667
2024-12-06,-0.06746255031893982,1,-0.4819142885800248,0,356855.0781,0.010242661128678776
2024-12-09,-0.11022098677071153,0,-0.546403765047065,0,359303.3373,0.006860653946793471
2024-12-10,-0.08717002028291664,1,-0.5698863597913397,0,360530.1436,0.0034144027417581935
2024-12-11,0.012605066749758101,1,-0.5827568289538512,0,365767.8143,0.014527691492590034
2024-12-12,-0.1103775926509839,0,-0.596460506355968,0,373429.8189,0.02094772776730891
2024-12-13,-0.34297536434052356,0,-0.5573975360466685,0,368199.6348,-0.014005801988192568
2024-12-16,-0.5511924114147428,0,-0.46123003174740906,0,369619.0551,0.003855029081631267
2024-12-17,-0.5254304123356168,0,-0.4068039694264673,0,348089.3044,-0.058248486929807
2024-12-18,-0.5280995479578942,0,-0.35799019412211286,0,347762.8486,-0.0009378507063373398
2024-12-19,-0.4302805151797157,0,-0.3082575046197191,0,346755.7306,-0.0028959907708785426
2024-12-20,-0.4428005640296163,0,-0.2511020844133259,0,353536.355,0.019554469621215098
2024-12-23,-0.49654376707455256,0,-0.24597003429531972,0,328793.6214,-0.06998639107426441
2024-12-24,-0.5160100442712953,0,-0.20120490715054293,0,327816.0266,-0.002973277875152891
2024-12-25,-0.550278389250574,0,-0.19143041647620268,0,317461.7816,-0.031585536275913095
