date,N1,share_000300,share_000905,share_000852,N2,n_market
2025-10-31,0.20881801125703564,0.3076923076923077,0.298,0.22525252525252526,-0.04606604506604506,5330
2025-11-03,0.21417854463615904,0.3177257525083612,0.304,0.2318548387096774,-0.0497983331535225,5332
2025-11-04,0.2150759422463904,0.31438127090301005,0.296,0.22681451612903225,-0.0529740128384939,5333
2025-11-05,0.2120757547346709,0.3010033444816054,0.272,0.21471774193548387,-0.057644473513863426,5333
2025-11-06,0.20168697282099343,0.22408026755852842,0.232,0.19556451612903225,-0.0102980094940123,5335
2025-11-07,0.20112464854732895,0.21739130434782608,0.222,0.1975806451612903,-0.007600981767180909,5335
2025-11-10,0.19599025669851977,0.21070234113712374,0.198,0.18951612903225806,-0.016944276620994708,5337
2025-11-11,0.20183658170914542,0.22073578595317725,0.2,0.19556451612903225,-0.022953527888661118,5336
2025-11-12,0.20183658170914542,0.22408026755852842,0.196,0.18951612903225806,-0.03132220304239938,5336
2025-11-13,0.20670914542728636,0.21739130434782608,0.202,0.19959677419354838,-0.016592917251051886,5336
2025-11-14,0.21326836581709147,0.22073578595317725,0.2,0.2086693548387097,-0.0164011085338224,5336
2025-11-17,0.21749718995878606,0.21739130434782608,0.206,0.21169354838709678,-0.008544530154277696,5338
2025-11-18,0.21656050955414013,0.21739130434782608,0.206,0.21068548387096775,-0.009048562412342226,5338
2025-11-19,0.21595804457763626,0.22073578595317725,0.204,0.20967741935483872,-0.013897076275757897,5339
2025-11-20,0.21408503465068365,0.22408026755852842,0.2,0.2056451612903226,-0.02125768691336713,5339
2025-11-21,0.21445963663607417,0.22408026755852842,0.2,0.2056451612903226,-0.02125768691336713,5339
2025-11-24,0.21052631578947367,0.22073578595317725,0.196,0.20766129032258066,-0.018905140791886904,5339
2025-11-25,0.20715489792095898,0.2140468227424749,0.196,0.2086693548387097,-0.011712145323120066,5339
2025-11-26,0.2011612661547106,0.19732441471571907,0.176,0.2006048387096774,-0.009021995360880358,5339
2025-11-27,0.19737827715355805,0.17391304347826086,0.162,0.19153225806451613,0.0028530855539972144,5340
2025-11-28,0.19883916869500093,0.17391304347826086,0.166,0.19153225806451613,0.004853085553997216,5341
2025-12-01,0.19902639955064594,0.18394648829431437,0.162,0.19657258064516128,-0.004660197971733726,5341
2025-12-02,0.198427555222763,0.18394648829431437,0.164,0.19536757301107754,-0.00426270178877558,5342
2025-12-03,0.19449644327967053,0.18394648829431437,0.164,0.19536757301107754,-0.00426270178877558,5342
2025-12-04,0.1875350926445817,0.1806020066889632,0.16,0.1851106639839034,-0.00804667469701148,5343
2025-12-05,0.18532384874578808,0.18394648829431437,0.154,0.17806841046277666,-0.017912283062926027,5342
2025-12-08,0.18157993260950955,0.16387959866220736,0.138,0.17706237424547283,-0.006348411539470938,5342
2025-12-09,0.17533682634730538,0.1605351170568562,0.138,0.16700201207243462,-0.00803411102063889,5344
2025-12-10,0.17065868263473055,0.14715719063545152,0.134,0.1659959758551308,0.0028407972921138946,5344
2025-12-11,0.15288173652694612,0.12040133779264214,0.106,0.14285714285714285,0.004027233635929273,5344
2025-12-12,0.14480823199251638,0.12374581939799331,0.11,0.13768844221105528,9.840170753433464e-05,5345
2025-12-15,0.1279221993641294,0.11371237458193979,0.104,0.11557788944723618,-0.003923429858321711,5347
2025-12-16,0.12343370114082663,0.11371237458193979,0.106,0.11155778894472362,-0.0049334801095779895,5347
2025-12-17,0.12118945202917523,0.11705685618729098,0.108,0.10653266331658291,-0.00979052452899952,5347
2025-12-18,0.11894520291752385,0.12709030100334448,0.11,0.09949748743718594,-0.022341557284751512,5347
2025-12-19,0.12266267763649963,0.12374581939799331,0.118,0.10251256281407035,-0.013489537990958145,5348
2025-12-22,0.12693961488128622,0.13712374581939799,0.128,0.1035175879396985,-0.02136495184954873,5349
2025-12-23,0.12955692652832304,0.14381270903010032,0.136,0.10854271356783919,-0.02154135224618073,5349
2025-12-24,0.1321742381753599,0.14715719063545152,0.14,0.11055276381909548,-0.021880808725903755,5349
2025-12-25,0.13591325481398392,0.1505016722408027,0.15,0.11457286432160804,-0.018215240079998668,5349
2025-12-26,0.1383177570093458,0.15384615384615385,0.16,0.12060301507537688,-0.013544646308465413,5350
2025-12-29,0.1416822429906542,0.15384615384615385,0.168,0.12663316582914572,-0.006529570931580991,5350
2025-12-30,0.14573991031390135,0.1505016722408027,0.18,0.135678391959799,0.007337523739096796,5352
2025-12-31,0.1470753130256027,0.1644295302013423,0.18473895582329317,0.13765182186234817,-0.003234141358521625,5351
2026-01-05,0.15193421790319567,0.174496644295302,0.19477911646586346,0.1435793731041456,-0.005317399510297499,5351
2026-01-06,0.1635208372266866,0.19798657718120805,0.21887550200803213,0.1597573306370071,-0.008670160858688436,5351
2026-01-07,0.16890881913303438,0.20134228187919462,0.2429718875502008,0.16582406471183014,0.0030556942518208396,5352
2026-01-08,0.17638266068759342,0.20469798657718122,0.24899598393574296,0.17997977755308392,0.009789894167232222,5352
2026-01-09,0.18569026713992154,0.21739130434782608,0.26305220883534136,0.19413549039433772,0.011202545267013447,5353
2026-01-12,0.2071735475434336,0.23076923076923078,0.29518072289156627,0.2204246713852376,0.027033466369171144,5353
2026-01-13,0.21441912588718715,0.2408026755852843,0.30522088353413657,0.2295247724974722,0.026570152430520078,5354
2026-01-14,0.22386109036594473,0.24414715719063546,0.3132530120481928,0.24343434343434345,0.03419652055063266,5356
2026-01-15,0.2292755787901419,0.24749163879598662,0.3172690763052209,0.2474747474747475,0.03488027309399755,5356
2026-01-16,0.23711725168035847,0.24414715719063546,0.3273092369477912,0.2595959595959596,0.049305441081239965,5356
2026-01-19,0.25130694548170274,0.24749163879598662,0.3453815261044177,0.2696969696969697,0.06004760910470708,5356
2026-01-20,0.2567214339058999,0.25418060200668896,0.3534136546184739,0.2797979797979798,0.06242521520153793,5356
2026-01-21,0.2622252513204975,0.2608695652173913,0.357429718875502,0.2966700302724521,0.06618030935658575,5869
2026-01-22,0.2743694614860259,0.2709030100334448,0.3714859437751004,0.30978809283551967,0.06973400827186521,5868
2026-01-23,0.2852760736196319,0.27424749163879597,0.3855421686746988,0.3239152371342079,0.08048121126565738,5868
2026-01-26,0.2914821124361158,0.2809364548494983,0.39357429718875503,0.32795156407669024,0.07982647578322433,5870
2026-01-27,0.2921137795946176,0.27759197324414714,0.39357429718875503,0.32896064581231077,0.08367549825638576,5871
2026-01-28,0.29943791517629026,0.2842809364548495,0.40763052208835343,0.33905146316851664,0.08906005617358553,5871
2026-01-29,0.30330381471389645,0.28762541806020064,0.40963855421686746,0.34006054490413723,0.08722413150030167,5872
2026-01-30,0.3068801089918256,0.2909698996655518,0.40763052208835343,0.343087790110999,0.08438925643412437,5872
2026-02-02,0.30609465440926115,0.28762541806020064,0.40763052208835343,0.34173387096774194,0.08705677846784704,5874
2026-02-03,0.3060425531914894,0.27759197324414714,0.41365461847389556,0.34541792547834843,0.10194429873197486,5875
2026-02-04,0.31063829787234043,0.27759197324414714,0.41365461847389556,0.35246727089627394,0.10546897144093764,5875
2026-02-05,0.31206397822018034,0.27759197324414714,0.41967871485943775,0.3544813695871098,0.10948806897912661,5877
2026-02-06,0.3093415007656968,0.2709030100334448,0.42168674698795183,0.35347432024169184,0.11667752358137701,5877
2026-02-09,0.28649200408302145,0.26755852842809363,0.38755020080321284,0.30916414904330314,0.08079864649516438,5878
2026-02-10,0.28598162640353864,0.26421404682274247,0.3855421686746988,0.30513595166163143,0.08112501334542266,5878
2026-02-11,0.2740728138822729,0.25752508361204013,0.3674698795180723,0.28197381671701915,0.0671967645055056,5878
2026-02-12,0.2720313031643416,0.25752508361204013,0.35542168674698793,0.2809667673716012,0.06066914344725444,5878
2026-02-13,0.2693092888737666,0.24749163879598662,0.3534136546184739,0.27492447129909364,0.06667742416279715,5878
2026-02-24,0.26913916298060564,0.23745819397993312,0.3433734939759036,0.2769385699899295,0.0726978380029834,5878
2026-02-25,0.2715209254848588,0.23745819397993312,0.3393574297188755,0.2849949647532729,0.07471800325614109,5878
2026-02-26,0.271010547805376,0.23745819397993312,0.3493975903614458,0.2799597180261833,0.07722046021388146,5878
2026-02-27,0.273732562095951,0.23076923076923078,0.35943775100401604,0.28700906344410876,0.09245417645483162,5878
2026-03-02,0.2623341272541681,0.25418060200668896,0.3373493975903614,0.2769385699899295,0.0529633817834565,5878
2026-03-03,0.25973805068889266,0.25752508361204013,0.3293172690763052,0.27492447129909364,0.04459578657565927,5879
