date,R1,R2,R3,R4,n_U,n_300,n_1000
2024-11-20,-0.4649476228847704,-0.055057194204252154,-0.22075226659974234,0.018522981580306408,1241.0,296.0,785.0
2024-11-21,-0.46973365617433416,-0.05455026964085179,-0.22553829988930613,0.030129619415333708,1239.0,296.0,784.0
2024-11-22,-0.46806790622473726,-0.05279828861613606,-0.21506550430320004,0.03340360821179239,1237.0,296.0,782.0
2024-11-25,-0.43157894736842106,-0.04113390817139982,-0.10814395539410326,0.008818433818433835,1235.0,296.0,780.0
2024-11-26,-0.40566801619433196,-0.03596874232879343,-0.05843465613017801,0.0016978516978516933,1235.0,296.0,780.0
2024-11-27,-0.3760129659643436,-0.030738768402616974,-0.0015141688512722018,-0.050277200277200285,1234.0,296.0,780.0
2024-11-28,-0.36171938361719386,-0.026258673668476003,0.045985271278472295,-0.05975262810949589,1233.0,296.0,779.0
2024-11-29,-0.3474025974025974,-0.02103394369618688,0.08828872092537687,-0.06164347916594387,1232.0,296.0,779.0
2024-12-02,-0.30618892508143325,-0.012589616472649608,0.14192048762974935,-0.010772400307284047,1228.0,296.0,774.0
2024-12-03,-0.28431372549019607,-0.009784270708873647,0.15700460248408044,-0.008195858195858219,1224.0,296.0,770.0
2024-12-04,-0.2602291325695581,-0.007867904039365367,0.19029379582947648,-0.02325377325377323,1222.0,296.0,770.0
2024-12-05,-0.24508196721311476,-0.006350404484461932,0.21268150824947574,-0.0179828265765766,1220.0,296.0,768.0
2024-12-06,-0.22887612797374898,-0.005600212826500559,0.22727833703027353,-0.034909909909909914,1219.0,296.0,768.0
2024-12-09,-0.1781609195402299,-0.0031383911977465348,0.282386584485535,-0.012170090559921076,1218.0,296.0,767.0
2024-12-10,-0.17323481116584566,-0.002679287173649578,0.2852663975368135,0.014856936467105952,1218.0,296.0,767.0
2024-12-11,-0.16269515201314708,-0.0023857330130423833,0.2997745816430273,0.01607155458330395,1217.0,296.0,766.0
2024-12-12,-0.14884868421052633,-0.0019678387008532196,0.3120068444416125,0.006805334746511238,1216.0,296.0,765.0
2024-12-13,-0.14391447368421054,-0.00183982327252329,0.311730687606112,0.0028837661190602437,1216.0,296.0,765.0
2024-12-16,-0.11266447368421052,-0.0011336397365714528,0.3478830303415544,0.011610139551316026,1216.0,296.0,765.0
2024-12-17,-0.10617283950617284,-0.0009313583804732535,0.35604581001151203,0.006526814772888079,1215.0,296.0,764.0
2024-12-18,-0.10608552631578948,-0.0008875975105002724,0.3588620965689809,0.01597332626744391,1216.0,296.0,765.0
2024-12-19,-0.10279605263157894,-0.000793627617100492,0.36693760354275523,0.011508567390920321,1216.0,296.0,765.0
2024-12-20,-0.09531635168447,-0.0007201400485503253,0.37275155454026726,0.00497261967850203,1217.0,296.0,765.0
2024-12-23,-0.10032894736842106,-0.0006784512974177087,0.33125,0.014468657138814206,1216.0,296.0,764.0
2024-12-24,-0.09868421052631579,-0.0006113527468498269,0.3069838056680162,0.019155936040752802,1216.0,296.0,764.0
2024-12-25,-0.10032894736842106,-0.0006057127004272982,0.2756840185959225,0.016325880854676664,1216.0,296.0,764.0
2024-12-26,-0.10032894736842106,-0.0005946759472885981,0.2613904362487728,0.012399179283996045,1216.0,296.0,764.0
2024-12-27,-0.09786184210526316,-0.0005651754169903415,0.24954075529733422,0.00902080090561766,1216.0,296.0,764.0
