date,T1_IF,T2_IF,n_used_IF,T1_IH,T2_IH,n_used_IH,T1_IC,T2_IC,n_used_IC,T1_IM,T2_IM,n_used_IM
2025-05-15,-0.062140255919951634,-0.030985004321729313,3.0,-0.06451341925472455,-0.03216833508043803,3.0,-0.11186910669371332,-0.055781307995221394,3.0,-0.11186052979736603,-0.0557770312962208,3.0
2025-05-16,-0.10360286297120401,-0.05165950975550444,3.0,-0.09263300994184501,-0.046189610436755534,3.0,-0.18286593436617402,-0.09118246590313323,3.0,-0.19170155597996644,-0.09558817311877765,3.0
2025-05-19,-0.09377183153763777,-0.03671687032444086,4.0,-0.09822122515287623,-0.03482999892033133,4.0,-0.14358489819612202,-0.07185468034742212,4.0,-0.1624738143716266,-0.08275477985286717,4.0
2025-05-20,-0.08971440716671387,-0.03490142129444504,4.0,-0.1095304836318037,-0.03958394720152965,4.0,-0.1445003313560811,-0.0704072032723867,4.0,-0.1841569365602071,-0.09244517500828528,4.0
2025-05-21,-0.10477423092792035,-0.04309523405743791,4.0,-0.10541916807691012,-0.035218800189578646,4.0,-0.17412007259201545,-0.08771763297390014,4.0,-0.21162973023617507,-0.10912117996486964,4.0
2025-05-22,-0.10274299656485289,-0.043598446075526265,4.0,-0.1212992108700326,-0.044437760568724845,4.0,-0.15051678284287473,-0.07275977592311557,4.0,-0.18015998461320015,-0.09132417298207676,4.0
2025-05-23,-0.12427600116188246,-0.055640930671953956,4.0,-0.13429344302381838,-0.053415112120409926,4.0,-0.17562585839596376,-0.08746779219200428,4.0,-0.20602462343542297,-0.10478142851711222,4.0
2025-05-26,-0.11060131590100225,-0.04560696343465663,4.0,-0.130368414436799,-0.04517836416997457,4.0,-0.1453303377162157,-0.06910350688513608,4.0,-0.18386440246869598,-0.09521983600780251,4.0
2025-05-27,-0.13203599934089913,-0.05860611844378865,4.0,-0.1481906734528084,-0.05747110404776906,4.0,-0.1554029319150547,-0.07688745409554099,4.0,-0.16361338206724266,-0.08278716700424507,4.0
2025-05-28,-0.14311001959255096,-0.0645023028600242,4.0,-0.1655239142804471,-0.06660348651158843,4.0,-0.15514609511962713,-0.07620738708175452,4.0,-0.15310825984337553,-0.0768832105754356,4.0
2025-05-29,-0.11961794339886131,-0.052981403273169664,4.0,-0.17563055058318724,-0.07238066168021692,4.0,-0.09163426671711292,-0.04037511971309567,4.0,-0.056902178885770816,-0.021036689520024104,4.0
2025-05-30,-0.06822139301415168,-0.02216808243785058,4.0,-0.13162634406247184,-0.040829553985787484,4.0,-0.0647348065075753,-0.025245839361906885,4.0,-0.07684710798228155,-0.03283528433591937,4.0
2025-06-03,-0.17792055500697773,-0.08691615848510442,4.0,-0.24806386882486436,-0.11272538620833074,4.0,-0.1818857639922153,-0.09489130304159565,4.0,-0.1921426960109149,-0.10346761147835204,4.0
2025-06-04,-0.1849894320058567,-0.08931910837264778,4.0,-0.24168107867330324,-0.10956265008635235,4.0,-0.15657760686226294,-0.0815526868439521,4.0,-0.19602459623250587,-0.10501876595524481,4.0
2025-06-05,-0.19085228417830138,-0.09397656732071627,4.0,-0.26959336942512224,-0.1252306030196918,4.0,-0.14900497382364356,-0.07642161975216136,4.0,-0.19629040136285011,-0.10506262557052681,4.0
2025-06-06,-0.14006395054905635,-0.06354602706536364,4.0,-0.2454661802896219,-0.1108510832703205,4.0,-0.10723334457138069,-0.05145550401054097,4.0,-0.14766984964112517,-0.0742071125333909,4.0
2025-06-09,-0.18791735031846768,-0.09289877666291271,4.0,-0.22320303635553687,-0.09517822921353332,4.0,-0.2070440715702839,-0.11188867644192575,4.0,-0.22761933416729388,-0.1258754238982552,4.0
2025-06-10,-0.31595682319243995,-0.1718682252656169,4.0,-0.3695092533232153,-0.18659780341828136,4.0,-0.24527619397757544,-0.13741671798447236,4.0,-0.2448274389965827,-0.13520611023586224,4.0
2025-06-11,-0.22590915581000917,-0.11139336086646123,4.0,-0.2573945938279199,-0.11364139924304073,4.0,-0.20763095810092305,-0.11024122305338976,4.0,-0.23946834595626243,-0.13285384719366042,4.0
2025-06-12,-0.12649408566792802,-0.04601593740033828,4.0,-0.2725215547195849,-0.11696508073668625,4.0,-0.11498339489473292,-0.04632133754698997,4.0,-0.21394049316629232,-0.1142926760898102,4.0
2025-06-13,-0.13539655236167547,-0.04914635381542586,4.0,-0.3713879751591463,-0.17537809375960936,4.0,-0.036921048174780834,0.005910420919222059,4.0,-0.10035779587233662,-0.04200716885582226,4.0
2025-06-16,-0.18003522851588957,-0.07929861542486338,3.0,-0.33559715587102396,-0.14829642800535128,3.0,-0.11945303377777815,-0.05188974082043926,3.0,-0.14125192196242334,-0.060787043868350044,3.0
2025-06-17,-0.17636288661276095,-0.07764344334025589,3.0,-0.32919526029176177,-0.14602711514466346,3.0,-0.09413564562081346,-0.04072232969109675,3.0,-0.12877184857237198,-0.05526333747839299,3.0
2025-06-18,-0.1939793664948433,-0.08523050050458197,3.0,-0.3401481995040548,-0.15084316809737486,3.0,-0.11976108153360399,-0.052041191117967914,3.0,-0.12509393378133776,-0.05347949893115628,3.0
2025-06-19,-0.20597566443100335,-0.09047372234046959,3.0,-0.39976849871720094,-0.17708862825025543,3.0,-0.06703894056489546,-0.028249257715956586,3.0,-0.05636388107737469,-0.022828667957530885,3.0
2025-06-20,-0.20540946621275497,-0.0902705349533518,3.0,-0.33753785797023306,-0.14975660897557502,3.0,-0.0533147312248068,-0.022304696101662955,3.0,-0.034268475395806505,-0.01368933471622158,3.0
2025-06-23,-0.1762994471795516,-0.08400288022730296,4.0,-0.2858353590593077,-0.14277270850657783,4.0,-0.07130904265678052,-0.028591788147360395,4.0,-0.11156511630048359,-0.04959227428108515,4.0
2025-06-24,-0.16767813500117082,-0.08081866086399545,4.0,-0.3140941764495816,-0.1553797906346111,4.0,-0.04008943717537608,-0.015027922555821305,4.0,-0.05923192286104394,-0.024095041608172496,4.0
2025-06-25,-0.1310794136099858,-0.0642767505193727,4.0,-0.2363406345200244,-0.11456683823157056,4.0,0.0006998134352867259,0.0013221692888561176,4.0,0.020233777823076074,0.013854664076020609,4.0
2025-06-26,-0.14128464184317044,-0.06797388208662945,4.0,-0.25847847552667924,-0.12515274416586336,4.0,-0.012900688683080407,-0.004446577430142276,4.0,0.012551237667765329,0.008784009165654263,4.0
2025-06-27,-0.18324361930443822,-0.09180680784568154,4.0,-0.26333827269158216,-0.12887925700654188,4.0,-0.05364654303117996,-0.02630033097048161,4.0,-0.040547699771265946,-0.018455017635977622,4.0
2025-06-30,-0.219989972649707,-0.10951051715818771,4.0,-0.2512833639457902,-0.12475172439181557,4.0,-0.17030685934834486,-0.08437772305782748,4.0,-0.21176113179143893,-0.10560305983113638,4.0
2025-07-01,-0.24124523574667073,-0.11958434491838904,4.0,-0.29897729876803114,-0.1494564600181889,4.0,-0.27170298918349683,-0.1350734480382706,4.0,-0.3100538500917386,-0.1515126481220579,4.0
2025-07-02,-0.17215546806080603,-0.08359289931592037,4.0,-0.28388046919243437,-0.1421013592989529,4.0,-0.09887782087860543,-0.0453511463674698,4.0,-0.10167795783477537,-0.04427373404718085,4.0
2025-07-03,-0.17117085486809858,-0.0831672655363591,4.0,-0.2630944327118618,-0.132704896194363,4.0,-0.20360176959032258,-0.09830386262753266,4.0,-0.2269749495599199,-0.11075027572089666,4.0
2025-07-04,-0.15690518603600945,-0.0750925070539476,4.0,-0.28940059751015507,-0.14578290268014235,4.0,-0.1381718957206741,-0.06526830122968025,4.0,-0.16439839514071028,-0.07653583227082944,4.0
2025-07-07,-0.24266388048226356,-0.12298316783662644,4.0,-0.3828430941725458,-0.1986177029820682,4.0,-0.2552472030748095,-0.1280236755454947,4.0,-0.34741365650694744,-0.17430377012709733,4.0
2025-07-08,-0.20714919237156512,-0.10375999473435094,4.0,-0.3339973254892003,-0.17295501774264702,4.0,-0.066275485699396,-0.028092353376514445,4.0,-0.0757475776827292,-0.033907778395146276,4.0
2025-07-09,-0.20587534322821777,-0.1062633387869478,4.0,-0.2694233261980938,-0.13776602774430496,4.0,-0.13552925904976987,-0.06465251283719728,4.0,-0.1485301604332728,-0.07380688694584864,4.0
2025-07-10,-0.21356950975664848,-0.10746638776949524,4.0,-0.33312188467708365,-0.1781972944946152,4.0,-0.1834959159257658,-0.09008583851030155,4.0,-0.19210949844001599,-0.09672298613129252,4.0
2025-07-11,0.03205460878241419,0.025097762061154973,4.0,-0.07882928750326681,-0.0376603302350577,4.0,0.08251395999889671,0.052384113693182646,4.0,0.07583122535033723,0.047090621238639246,4.0
2025-07-14,-0.06907908566089514,-0.027300308012908482,3.0,-0.08432031418699848,-0.031543632350609835,3.0,-0.09961646159582122,-0.037099810378035336,3.0,-0.09104457761644448,-0.03484109522797524,3.0
2025-07-15,-0.09085800388303517,-0.03501161664858294,3.0,-0.11068176046673421,-0.04222485580213262,3.0,-0.10934527995827231,-0.040532318070731405,3.0,-0.10813035329239755,-0.04046642247377828,3.0
2025-07-16,-0.07328086359592896,-0.028101187687176288,3.0,-0.09117800575265785,-0.03477946263355964,3.0,-0.10477395797365643,-0.03946667814130343,3.0,-0.11087592515655982,-0.042110846382601125,3.0
2025-07-17,0.0009860307409855925,-0.0006574615739913664,3.0,-0.02755626817172255,-0.009971974353101357,3.0,-0.045781552646996904,-0.017089618806115536,3.0,-0.03868405185561909,-0.014307656768634339,3.0
2025-07-18,0.04304710404538396,0.016194652065403672,3.0,0.031879583606423845,0.013355640957361201,3.0,-0.02575617138231455,-0.009188453579425576,3.0,-0.018039609256200923,-0.006053113727044354,3.0
2025-07-21,-0.014099500385036455,-0.010832231734598123,4.0,-0.012661375310561785,-0.007916172948859549,4.0,-0.06733602736819931,-0.04520665880986344,4.0,-0.08338361600991122,-0.05670579796455337,4.0
2025-07-22,0.04020948959965465,0.025653978249477773,4.0,0.017183090084205363,0.010668428236337367,4.0,0.004674036272221988,0.005332430083515943,4.0,-0.005582983850607166,-0.001983919985382554,4.0
2025-07-23,0.022156444947100527,0.012779754489087532,4.0,0.00046286626318828126,-0.0001237720624507506,4.0,-0.004881681117678116,-0.0039888972584376375,4.0,0.01398872702707813,0.00970007985116185,4.0
2025-07-24,0.027789137066329316,0.016015268319352703,4.0,0.021648988285106693,0.014427208661860454,4.0,0.013525965320404041,0.008514533376099712,4.0,0.056555969269898046,0.03483539668741731,4.0
2025-07-25,0.01525671305447866,0.008142110905724895,4.0,-0.0026729087277389597,-0.002467540181796167,4.0,-0.03716487253803364,-0.027048109157795763,4.0,0.005987974189759553,0.0017604842542612853,4.0
2025-07-28,0.012606611550209769,0.006929834347344999,4.0,0.0263815618411461,0.019601201396244456,4.0,-0.10352722040100805,-0.0724061798266796,4.0,-0.08309726106711582,-0.05751779387680926,4.0
2025-07-29,0.044911742530230996,0.03159329178076893,4.0,0.038622119111845266,0.026527486070544504,4.0,-0.058847781003926354,-0.04120494501574634,4.0,-0.037944400568441804,-0.028186430536027873,4.0
2025-07-30,0.009321860264532345,0.005707042318670728,4.0,0.01907079972058737,0.015331171313372883,4.0,-0.09737600940077429,-0.06792239578486785,4.0,-0.05078622889947856,-0.03632399219432811,4.0
2025-07-31,0.0012947447476070555,0.001814559676221142,4.0,0.014188877003042976,0.011191688783166552,4.0,-0.08589648583966701,-0.057555145820521486,4.0,-0.09400286253631125,-0.06610054492151626,4.0
2025-08-01,-0.061907320751170884,-0.04418603859060088,4.0,-0.0045704559341956325,-0.002993703704912331,4.0,-0.1450039915706066,-0.10203516399927295,4.0,-0.1335915649518085,-0.09506284202587387,4.0
2025-08-04,-0.01998924532115988,-0.014293474192288907,4.0,0.009181325346060643,0.007348316777257832,4.0,-0.09574452249820309,-0.06865395043556155,4.0,-0.036410741313645925,-0.02809136430144972,4.0
2025-08-05,-0.05856737024625706,-0.04269773962094593,4.0,-0.02421815902261624,-0.019262915031399975,4.0,-0.1653078540486455,-0.11873157943601004,4.0,-0.0870313565445155,-0.06501597658130936,4.0
2025-08-06,-0.03792973724626816,-0.029572645628580804,4.0,-0.038056810610261595,-0.028268638046543358,4.0,-0.1318939601484245,-0.09634386778272121,4.0,-0.06687018203804977,-0.04999757307207969,4.0
2025-08-07,-0.08172542518798265,-0.06041553284978776,4.0,-0.02971722587934607,-0.02387763174167147,4.0,-0.23723503186088477,-0.17114561646814241,4.0,-0.15177080186571287,-0.11217500257649213,4.0
2025-08-08,-0.09287518212113435,-0.06953518037850542,4.0,-0.09780055935380648,-0.07525001970885095,4.0,-0.13755501669502082,-0.0973264203538627,4.0,-0.13160441813452492,-0.0993737249320384,4.0
2025-08-11,-0.018037083431937797,-0.008993833382500496,3.0,-0.0039347104757333365,-0.0019619652235163486,3.0,-0.0730726124224855,-0.03643620674217084,3.0,-0.02879673508968135,-0.01435891996252607,3.0
2025-08-12,0.0009088923089410417,0.0004532010965130791,3.0,0.013030861280713108,0.00649758014545147,3.0,-0.036750866375331946,-0.018325089535097025,3.0,-0.005547675287134171,-0.0027662380883792526,3.0
2025-08-13,0.021432242138499,0.010686761833443343,3.0,0.02688524511499327,0.013405793454599397,3.0,-6.384611806318989e-05,-3.18355985959029e-05,3.0,0.022806224774185268,0.011371870983292356,3.0
2025-08-14,0.002338146173739991,0.0011658701469059764,3.0,6.610757364845762e-05,3.2963228504162534e-05,3.0,0.002825693070325397,0.0014089757227375571,3.0,0.05214245618661709,0.025999800071135087,3.0
2025-08-15,0.06521494646352607,0.03251813768866231,3.0,0.07731097602795056,0.03854958256736163,3.0,0.030318010475950567,0.015117473716775374,3.0,0.08030286194710373,0.04004142705307641,3.0
2025-08-18,0.019244658834392064,0.009265027802492972,4.0,0.050680355016393966,0.02859053704322907,4.0,-0.03874578414307871,-0.02466561296634566,4.0,0.004495086386054632,0.001888752548316469,4.0
2025-08-19,-0.0017200137697979431,-0.0015900799549976585,4.0,0.011336629213747913,0.007239000692987134,4.0,-0.031208458477173046,-0.016665747210277485,4.0,-0.024994229394936895,-0.013829233210420455,4.0
2025-08-20,0.014971879667488199,0.010936323373092372,4.0,0.02099447619657736,0.012782105130853413,4.0,0.021618092235859334,0.011718461067720697,4.0,0.05458713041429838,0.031030585610739944,4.0
2025-08-21,0.0005609994289538422,0.0018380632622970045,4.0,0.012440922730756684,0.009205315851236302,4.0,-0.022094229112631113,-0.01222299731438592,4.0,-0.0057220564465858504,-0.0028060354457158515,4.0
2025-08-22,0.10157765348246085,0.05820714488465201,4.0,0.07533832453515701,0.04855454027745834,4.0,0.06964284560663304,0.04119124675626171,4.0,0.09132313914376147,0.051789808697241174,4.0
2025-08-25,0.05132752041405306,0.028073081478043525,4.0,0.010677531074426622,0.005789238853896026,4.0,-0.025113624631462238,-0.017022155244484707,4.0,-0.070921007985826,-0.04075742720106633,4.0
2025-08-26,0.006931694798012963,0.005002864039443779,4.0,0.0034650784557840797,0.001529638789130221,4.0,-0.043415496069606256,-0.027290288465622037,4.0,-0.06179400883034269,-0.034195918552338125,4.0
2025-08-27,0.017015182972396903,0.010218276822979308,4.0,0.003012963625614577,0.005375205792710941,4.0,0.02799804387112687,0.017500914423053723,4.0,-0.028640546817727104,-0.015906200284857425,4.0
2025-08-28,0.006119844238495567,0.003936801986901103,4.0,-0.01583831170232431,-0.010433830566107078,4.0,-0.03968527688893729,-0.022080854428916663,4.0,-0.14527401303147022,-0.08360089951724951,4.0
2025-08-29,0.0844282869745672,0.049269981960400624,4.0,0.021573004521773048,0.017135107143622198,4.0,-0.049986113411219446,-0.028374727647704517,4.0,-0.1100056348425255,-0.06252279196330467,4.0
2025-09-01,-0.06059274500145205,-0.03556951608209964,4.0,-0.024886234175536853,-0.012122199791303983,4.0,-0.2872189594297982,-0.1692206421393716,4.0,-0.3449932944226289,-0.20278175161380002,4.0
2025-09-02,-0.037483882138185376,-0.023224792095104654,4.0,-0.002092273087684075,0.00044910691704025396,4.0,-0.17529212412323897,-0.10631441646931344,4.0,-0.11575880942296793,-0.07486497198067088,4.0
