underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
300｜沪深300,40,250,0,0.6318186184741653,0.8071867121363042,-0.19566417404643002,0.9022445797892009,-0.19566417404643002
300｜沪深300,40,250,5,0.3977127577099264,0.558734473843803,-0.13279013356984307,0.44404395719433754,-0.13279013356984307
300｜沪深300,60,120,0,0.5211725263053234,0.8755964066288316,-0.7802912601102486,0.6301378705581779,-0.7802912601102486
300｜沪深300,60,120,5,0.3688425984323859,0.694117597041744,-0.757827828136665,0.41804684642978857,-0.757827828136665
300｜沪深300,60,180,0,0.3811297639590591,0.7631164520557271,-0.8343834116445099,0.3030636282897652,-0.8343834116445099
300｜沪深300,60,180,5,0.2520325243340162,0.5690410670392392,-1.0288577769415899,0.361809310179666,-1.0288577769415899
300｜沪深300,60,300,0,0.27924365526432376,0.46439644795971796,-0.7765714530361411,0.5557416949444849,-0.7765714530361411
300｜沪深300,60,300,5,0.2841293227013532,0.5368506096956309,-0.733311863650574,0.3547251823069893,-0.733311863650574
300｜沪深300,60,250,0,0.48403104464477426,0.7762989738970902,-0.6744886168636829,0.5844864308135086,-0.6744886168636829
300｜沪深300,60,250,5,0.3389991253916195,0.6742591660454224,-0.8061770332224775,0.3031907336197595,-0.8061770332224775
500｜中证500（现役分量）,5,10,0,0.02477635392673114,-0.029142578925660564,-0.6602547350752042,0.6636852469020185,-0.6602547350752042
500｜中证500（现役分量）,5,10,5,-0.03937068901257111,-0.03453596780390056,-0.506287684454019,0.30391697627220376,-0.506287684454019
500｜中证500（现役分量）,5,15,0,0.0040749831696703966,-0.2598401046291821,-0.5085760974487497,1.1140310635889707,-0.5085760974487497
500｜中证500（现役分量）,5,15,5,-0.08749741912976317,0.07783915069640905,-1.1786210138571114,0.33561834014540476,-1.1786210138571114
500｜中证500（现役分量）,5,25,0,-0.042976483961445267,-0.14653288989102617,-0.8026264521125668,0.9172333973695703,-0.8026264521125668
500｜中证500（现役分量）,5,25,5,-0.05524676173418501,0.008004114878405497,-0.4190718868727974,0.059604232098630215,-0.4190718868727974
500｜中证500（现役分量）,5,250,0,0.2976146607315108,0.251044011691294,0.04295570354820343,0.6066405001451863,0.04295570354820343
500｜中证500（现役分量）,5,250,5,0.4741453694798042,0.47751821615061846,-0.15373489470535234,1.0295142444154268,-0.15373489470535234
500｜中证500（现役分量）,10,20,0,0.2079902390221608,0.4382583844969012,-0.675843562329923,0.3329278171529542,-0.675843562329923
500｜中证500（现役分量）,10,20,5,0.31894063950208196,0.3071450946956622,-0.5090914446769103,1.2022810654561986,-0.5090914446769103
500｜中证500（现役分量）,10,30,0,0.3562092588343609,0.5611657495717447,-0.15240416301476012,0.1631526259399485,-0.15240416301476012
500｜中证500（现役分量）,10,30,5,0.662801975830473,0.7521006083394248,0.11118178041121178,0.9265902375043753,0.11118178041121178
