date,pair_01_factor_5,pair_02_factor_5,pair_03_factor_5,pair_04_factor_5,raw_signal_5,factor_value_raw,factor_value
2015-01-14,0.6969,0.7958,0.6771,0.7726,0.7356,0.7356,0.7356
2015-01-15,0.2521,0.4502,0.2665,0.6508,0.4049,0.4049,0.4049
2015-01-16,0.3132,0.4943,0.3214,0.6201,0.4373,0.4373,0.4373
2015-01-19,0.4996,0.6508,0.5387,0.5727,0.5654,0.5654,0.5654
2015-01-20,0.4932,0.6088,0.5044,0.614,0.5551,0.5551,0.5551
2015-01-21,0.0943,0.3337,0.3786,0.5179,0.3311,0.3311,0.3311
2015-01-22,0.6079,0.5049,0.525,0.633,0.5677,0.5677,0.5677
2015-01-23,0.4598,0.2606,0.2786,0.4936,0.3732,0.3732,0.3732
2015-01-26,-0.0106,-0.3614,-0.2708,-0.0204,-0.1658,-0.1658,-0.1658
2015-01-27,-0.2043,-0.5011,-0.3431,-0.3382,-0.3467,-0.3467,-0.3467
2015-01-28,0.2146,-0.3787,-0.2377,-0.21,-0.1529,-0.1529,-0.1529
2015-01-29,-0.0114,-0.4402,-0.3375,-0.4034,-0.2981,-0.2981,-0.2981
2015-01-30,0.3955,-0.3397,-0.3219,-0.42,-0.1715,-0.1715,-0.1715
2015-02-02,0.6907,-0.0949,-0.2074,-0.0978,0.0726,0.0726,0.0726
2015-02-03,0.5592,-0.0834,-0.1696,0.1032,0.1024,0.1024,0.1024
2015-02-04,0.4213,-0.1913,-0.0906,0.1093,0.0622,0.0622,0.0622
2015-02-05,0.6263,-0.0602,0.1514,0.5096,0.3068,0.3068,0.3068
2015-02-06,0.4661,-0.052,0.262,0.4841,0.2901,0.2901,0.2901
2015-02-09,-0.2653,-0.375,0.0583,-0.0745,-0.1641,-0.1641,-0.1641
2015-02-10,-0.0367,-0.3194,0.0545,-0.0805,-0.0955,-0.0955,-0.0955
2015-02-11,0.1663,-0.0683,0.1849,-0.0573,0.0564,0.0564,0.0564
2015-02-12,-0.2575,-0.0904,-0.0447,-0.4796,-0.2181,-0.2181,-0.2181
2015-02-13,-0.3255,-0.1784,0.0224,-0.2537,-0.1838,-0.1838,-0.1838
2015-02-16,0.0054,0.1928,0.3539,0.3661,0.2295,0.2295,0.2295
2015-02-17,-0.2547,0.2346,0.1642,0.3211,0.1163,0.1163,0.1163
2015-02-25,-0.2049,0.0487,-0.1776,0.3829,0.0123,0.0123,0.0123
2015-02-26,-0.4324,-0.4761,-0.2852,-0.0488,-0.3106,-0.3106,-0.3106
2015-02-27,-0.478,-0.3977,-0.019,0.0737,-0.2052,-0.2052,-0.2052
2015-03-02,-0.5218,-0.55,-0.0478,-0.0893,-0.3022,-0.3022,-0.3022
2015-03-03,-0.2399,-0.7321,0.291,-0.1352,-0.2041,-0.2041,-0.2041
2015-03-04,0.0032,-0.5538,0.5557,0.1145,0.0299,0.0299,0.0299
2015-03-05,0.5826,0.148,0.7489,0.7531,0.5582,0.5582,0.5582
2015-03-06,0.1347,-0.3482,-0.2963,-0.111,-0.1552,-0.1552,-0.1552
2015-03-09,-0.1153,-0.3775,-0.6695,-0.1728,-0.3338,-0.3338,-0.3338
2015-03-10,0.2478,-0.0155,-0.6014,-0.323,-0.173,-0.173,-0.173
2015-03-11,-0.3419,-0.2289,-0.7803,-0.5457,-0.4742,-0.4742,-0.4742
2015-03-12,-0.8072,-0.6279,-0.8319,-0.7575,-0.7561,-0.7561,-0.7561
2015-03-13,-0.479,-0.2324,-0.3115,-0.0842,-0.2768,-0.2768,-0.2768
2015-03-16,-0.4477,-0.2967,-0.1214,-0.1021,-0.242,-0.242,-0.242
2015-03-17,-0.8335,-0.5935,-0.3904,-0.4044,-0.5555,-0.5555,-0.5555
2015-03-18,-0.8359,-0.4713,-0.0639,-0.7335,-0.5261,-0.5261,-0.5261
2015-03-19,-0.6124,-0.3411,0.2374,-0.6789,-0.3488,-0.3488,-0.3488
2015-03-20,-0.5385,0.1224,0.1391,-0.636,-0.2282,-0.2282,-0.2282
2015-03-23,-0.3395,0.4423,0.3907,-0.4698,0.0059,0.0059,0.0059
2015-03-24,0.0096,0.8495,0.7158,0.5741,0.5372,0.5372,0.5372
2015-03-25,0.6135,0.8695,0.7255,0.7809,0.7473,0.7473,0.7473
2015-03-26,0.1959,0.5783,0.1873,0.0605,0.2555,0.2555,0.2555
2015-03-27,0.3803,0.3891,0.1758,-0.2874,0.1644,0.1644,0.1644
2015-03-30,-0.1139,-0.3519,-0.6051,-0.7535,-0.4561,-0.4561,-0.4561
2015-03-31,0.2312,-0.0575,-0.3674,-0.7732,-0.2417,-0.2417,-0.2417
2015-04-01,0.0257,0.0742,-0.2616,-0.8282,-0.2475,-0.2475,-0.2475
2015-04-02,0.6615,0.7828,0.5806,-0.4094,0.4039,0.4039,0.4039
2015-04-03,0.4986,0.5867,0.3927,-0.4298,0.262,0.262,0.262
2015-04-07,0.5456,0.745,0.6949,-0.1988,0.4467,0.4467,0.4467
2015-04-08,-0.2216,0.2751,0.0993,-0.6112,-0.1146,-0.1146,-0.1146
