date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-07-29,2575.148,2442.921,4508.8971,4904.7363,1697.0653,1340.1962,1229.2064,1226.7614
2014-07-30,2556.727,2420.836,4519.4646,4892.6175,1710.2779,1339.9247,1236.4973,1234.1454
2014-07-31,2590.834,2452.309,4550.5599,4936.0723,1717.9311,1350.7549,1247.8958,1245.7518
2014-08-01,2574.712,2434.856,4522.1849,4890.7785,1693.9832,1335.6067,1237.2347,1233.2187
2014-08-04,2615.228,2482.266,4598.8837,4980.3373,1711.026,1359.1236,1254.4193,1250.7912
2014-08-05,2602.36,2466.463,4610.4025,4997.6317,1729.1648,1366.7271,1264.1249,1260.5117
2014-08-06,2581.529,2445.059,4632.3645,5016.7858,1735.8733,1372.0932,1265.2822,1264.023
2014-08-07,2541.333,2406.036,4581.9509,4953.8397,1726.3317,1356.7222,1253.4567,1249.541
2014-08-08,2548.584,2407.6,4611.2061,4958.7175,1745.7605,1365.1144,1262.7022,1256.4188
2014-08-11,2584.588,2443.045,4678.5659,5029.2384,1771.3773,1389.1819,1280.7303,1275.0369
2014-08-12,2573.043,2428.052,4700.6227,5040.6468,1778.3273,1401.4244,1287.0383,1282.5931
2014-08-13,2568.37,2430.757,4690.532,5044.3868,1775.8747,1404.3863,1294.4967,1287.0486
2014-08-14,2547.262,2411.387,4655.546,5007.0228,1770.9692,1396.659,1289.4966,1281.6838
2014-08-15,2567.393,2434.181,4713.4569,5073.6489,1791.4694,1409.3388,1308.2233,1297.6719
2014-08-18,2580.764,2440.424,4780.8617,5140.8024,1828.0362,1426.6336,1333.8753,1325.1468
2014-08-19,2580.98,2438.073,4795.2574,5149.0556,1836.7394,1426.6263,1341.9159,1331.9767
2014-08-20,2569.245,2424.956,4788.2575,5154.6422,1830.4853,1427.1493,1343.0361,1336.8551
2014-08-21,2558.315,2407.687,4786.5521,5141.9151,1837.7259,1424.5574,1345.6821,1336.0873
2014-08-22,2570.533,2420.668,4804.4058,5173.402,1851.1831,1434.5001,1357.0884,1345.2983
2014-08-25,2544.177,2397.814,4763.4182,5135.5955,1838.418,1425.9081,1349.4181,1340.7985
2014-08-26,2530.494,2387.034,4687.7871,5051.9048,1799.7374,1398.0355,1323.857,1314.8715
2014-08-27,2532.675,2386.677,4701.2566,5069.6216,1806.1115,1398.7206,1333.0035,1326.6504
2014-08-28,2510.11,2366.41,4653.383,5017.9847,1785.3213,1385.4756,1321.5405,1312.3112
2014-08-29,2541.649,2393.514,4704.0135,5080.2484,1811.4324,1399.1891,1336.8127,1329.2435
2014-09-01,2558.115,2404.331,4792.0648,5174.6959,1847.7165,1420.7493,1363.7024,1359.8382
2014-09-02,2589.596,2434.749,4866.0558,5260.805,1870.9261,1441.3012,1386.8081,1382.7643
2014-09-03,2614.59,2458.742,4894.6552,5283.8956,1887.3817,1446.954,1400.9403,1391.8865
2014-09-04,2632.396,2477.893,4921.0838,5328.1599,1909.945,1466.8245,1416.4739,1406.4662
2014-09-05,2654.947,2500.073,4926.3917,5358.4955,1911.6153,1477.8463,1425.6707,1414.1746
2014-09-09,2640.33,2489.715,4954.283,5406.5398,1921.9241,1488.1696,1440.3907,1427.5516
2014-09-10,2623.988,2469.421,4962.7361,5405.6388,1933.8977,1495.8156,1451.2143,1441.5385
2014-09-11,2610.153,2460.06,4982.2137,5403.0216,1937.1407,1494.679,1454.2,1443.1467
2014-09-12,2621.232,2472.223,5031.3405,5467.9177,1957.2527,1515.2574,1472.9992,1465.958
2014-09-15,2613.734,2464.272,5081.9331,5517.9897,1974.4574,1536.1869,1494.4701,1490.1072
2014-09-16,2570.549,2441.887,4914.4979,5334.5443,1904.1621,1490.8146,1443.5361,1433.2594
2014-09-17,2580.988,2451.387,4958.6038,5392.1955,1916.4627,1504.8769,1460.4118,1450.3685
2014-09-18,2593.323,2455.337,4996.0003,5419.5705,1931.9459,1514.5063,1476.6463,1464.6243
2014-09-19,2609.767,2467.884,5027.7201,5470.0812,1953.0608,1526.1937,1498.5547,1485.8665
2014-09-22,2563.742,2412.878,4971.0801,5402.7301,1935.1707,1513.3147,1489.7358,1473.6542
2014-09-23,2584.237,2428.715,5037.2893,5473.4437,1961.8645,1538.7107,1518.9616,1501.6541
2014-09-24,2619.929,2467.999,5085.6717,5547.2176,1985.8274,1561.6725,1547.0877,1527.1759
2014-09-25,2608.798,2460.984,5081.0951,5537.9109,1985.1756,1561.9945,1557.1353,1529.6256
2014-09-26,2608.971,2457.57,5109.0061,5565.2377,1991.2004,1575.4119,1568.4234,1547.8363
2014-09-29,2616.877,2459.342,5157.8971,5627.3031,2016.7225,1593.9059,1586.0362,1568.526
2014-09-30,2615.875,2460.303,5208.6931,5646.6999,2036.729,1603.4603,1601.6771,1580.2901
2014-10-08,2649.648,2483.656,5290.3921,5711.6257,2066.6007,1627.3931,1634.776,1602.7503
2014-10-09,2648.589,2487.753,5286.5648,5734.7383,2075.3223,1637.6331,1643.6656,1610.3177
