kind,rep,scheme,p_maxT,p_minP
stationary,264,full_group,0.114,0.216
stationary,265,restricted,0.37,0.116
stationary,265,full_group,0.352,0.148
stationary,266,restricted,0.716,0.222
stationary,266,full_group,0.694,0.302
stationary,267,restricted,0.67,0.536
stationary,267,full_group,0.648,0.584
stationary,268,restricted,0.952,0.946
stationary,268,full_group,0.97,0.948
stationary,269,restricted,0.036,0.126
stationary,269,full_group,0.042,0.22
stationary,270,restricted,0.356,0.632
stationary,270,full_group,0.394,0.652
stationary,271,restricted,0.18,0.424
stationary,271,full_group,0.204,0.422
stationary,272,restricted,0.378,0.166
stationary,272,full_group,0.384,0.264
stationary,273,restricted,0.956,0.648
stationary,273,full_group,0.956,0.754
stationary,274,restricted,0.08,0.1
stationary,274,full_group,0.106,0.332
stationary,275,restricted,0.92,0.92
stationary,275,full_group,0.908,0.944
stationary,276,restricted,0.888,0.918
stationary,276,full_group,0.904,0.938
stationary,277,restricted,0.486,0.77
stationary,277,full_group,0.492,0.712
stationary,278,restricted,0.87,0.99
stationary,278,full_group,0.844,0.982
stationary,279,restricted,0.446,0.552
stationary,279,full_group,0.366,0.528
stationary,280,restricted,0.09,0.272
stationary,280,full_group,0.102,0.268
stationary,281,restricted,0.566,0.888
stationary,281,full_group,0.598,0.854
stationary,282,restricted,0.714,0.422
stationary,282,full_group,0.782,0.398
stationary,283,restricted,0.662,0.866
stationary,283,full_group,0.656,0.902
stationary,284,restricted,0.998,1.0
stationary,284,full_group,0.998,1.0
stationary,285,restricted,0.086,0.17
stationary,285,full_group,0.092,0.312
stationary,286,restricted,0.032,0.09
stationary,286,full_group,0.028,0.142
stationary,287,restricted,0.764,0.726
stationary,287,full_group,0.764,0.682
stationary,288,restricted,0.068,0.188
stationary,288,full_group,0.092,0.246
stationary,289,restricted,0.962,0.624
stationary,289,full_group,0.956,0.628
stationary,290,restricted,0.976,0.32
stationary,290,full_group,0.962,0.412
stationary,291,restricted,0.412,0.82
stationary,291,full_group,0.424,0.742
stationary,292,restricted,0.404,0.188
stationary,292,full_group,0.4,0.212
stationary,293,restricted,0.062,0.182
stationary,293,full_group,0.08,0.13
stationary,294,restricted,0.74,0.564
stationary,294,full_group,0.754,0.712
stationary,295,restricted,0.844,0.578
stationary,295,full_group,0.796,0.496
stationary,296,restricted,0.896,0.62
stationary,296,full_group,0.932,0.688
stationary,297,restricted,0.624,0.602
stationary,297,full_group,0.624,0.5
stationary,298,restricted,0.818,0.81
stationary,298,full_group,0.874,0.8
stationary,299,restricted,0.91,0.288
stationary,299,full_group,0.906,0.184
stationary,300,restricted,0.322,0.308
stationary,300,full_group,0.316,0.308
stationary,301,restricted,0.712,0.088
stationary,301,full_group,0.676,0.07
stationary,302,restricted,0.298,0.478
stationary,302,full_group,0.312,0.562
stationary,303,restricted,0.27,0.5
stationary,303,full_group,0.284,0.508
stationary,304,restricted,0.706,0.074
stationary,304,full_group,0.67,0.064
stationary,305,restricted,0.53,0.034
stationary,305,full_group,0.576,0.056
stationary,306,restricted,0.182,0.262
stationary,306,full_group,0.186,0.278
stationary,307,restricted,0.324,0.236
stationary,307,full_group,0.326,0.264
stationary,308,restricted,0.06,0.044
stationary,308,full_group,0.044,0.08
stationary,309,restricted,0.606,0.152
stationary,309,full_group,0.636,0.194
stationary,310,restricted,0.892,0.986
stationary,310,full_group,0.876,0.988
stationary,311,restricted,0.838,0.922
stationary,311,full_group,0.814,0.884
stationary,312,restricted,0.704,0.884
stationary,312,full_group,0.718,0.93
stationary,313,restricted,0.836,0.764
stationary,313,full_group,0.796,0.714
stationary,314,restricted,0.246,0.59
stationary,314,full_group,0.266,0.504
stationary,315,restricted,0.386,0.736
stationary,315,full_group,0.356,0.686
stationary,316,restricted,0.588,0.166
stationary,316,full_group,0.558,0.198
stationary,317,restricted,0.214,0.53
stationary,317,full_group,0.244,0.56
stationary,318,restricted,0.9,0.868
stationary,318,full_group,0.88,0.864
stationary,319,restricted,0.416,0.672
