name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
slope_L60s0_zw120_sm5,momentum174,slope,,120,5,old_sym,0.05644489508198975,1706,0.7490097946997176,727,-0.31566945297114174,654,60.0,0.0,0.05644489508198975,-0.31566945297114174,125,20
slope_L60s0_zw250_sm0,momentum174,slope,,250,0,old_sym,0.005433304934077063,1706,0.27723296550942017,727,-0.12085897318160928,654,60.0,0.0,0.005433304934077063,-0.12085897318160928,132,22
slope_L60s0_zw250_sm5,momentum174,slope,,250,5,old_sym,0.19252054502474428,1706,0.2552126702486153,727,-0.14091336205036484,654,60.0,0.0,0.19252054502474428,-0.14091336205036484,114,18
slope_L120s0_zw40_sm0,momentum174,slope,,40,0,old_sym,0.07580250003249342,1706,-0.07038709779260732,727,-0.13454598952929134,654,120.0,0.0,-0.07038709779260732,-0.13454598952929134,135,24
slope_L120s0_zw40_sm5,momentum174,slope,,40,5,old_sym,-0.08544968591582222,1706,-0.2557270848330688,727,-0.496816842878724,654,120.0,0.0,-0.2557270848330688,-0.496816842878724,147,29
slope_L120s0_zw120_sm0,momentum174,slope,,120,0,old_sym,0.0295445909329829,1706,-0.3297985554479776,727,-0.8418657941772172,654,120.0,0.0,-0.3297985554479776,-0.8418657941772172,153,32
slope_L120s0_zw120_sm5,momentum174,slope,,120,5,old_sym,-0.08325034420463202,1706,-0.2944217446901961,727,-0.6969641962653549,654,120.0,0.0,-0.2944217446901961,-0.6969641962653549,151,31
slope_L120s0_zw250_sm0,momentum174,slope,,250,0,old_sym,-0.1782478976327178,1706,-0.037072693867825295,727,-0.1238232144169973,654,120.0,0.0,-0.1782478976327178,-0.1782478976327178,145,28
slope_L120s0_zw250_sm5,momentum174,slope,,250,5,old_sym,0.0026707548606328267,1706,0.06133803082124344,727,0.10396196192638543,654,120.0,0.0,0.0026707548606328267,0.0026707548606328267,133,23
slope_L250s0_zw40_sm0,momentum174,slope,,40,0,old_sym,0.5479980330304018,1706,0.007176439029217409,727,0.4108657271109934,654,250.0,0.0,0.007176439029217409,0.007176439029217409,131,21
