ts_code,formation_date,total_shares,mkt_cap_ard,close,implied_shares,relative_error,is_target_coordinate,cdr_unit_ratio,proposed_shares,cross_field_tier,cross_field_evidence
600483.SH,2023-02-28,1954569056,25526671871.36,13.06,1954569056.0,1.417387391199764e-17,True,1,1954569056,CROSS_FIELD_EXACT,relative_error=1.417e-17
600483.SH,2023-03-31,1954569186,23963016626.56,12.26,1954569056.0000002,6.651082027955507e-08,True,1,1954569186,CROSS_FIELD_EXACT,relative_error=6.651e-8
600483.SH,2023-04-28,1954569186,22966187935.5,11.75,1954569186.0,0.0,True,1,1954569186,CROSS_FIELD_EXACT,relative_error=0.000e+3
600483.SH,2023-05-31,1954571408,24647117435.46,12.61,1954569186.0,1.1368221139887334e-06,True,1,1954571408,CROSS_FIELD_EXACT,relative_error=1.137e-6
600483.SH,2023-06-30,1954571408,22575299762.4,11.55,1954571408.0,6.07178607654673e-18,True,1,1954571408,CROSS_FIELD_EXACT,relative_error=6.072e-18
600483.SH,2023-07-31,2540942830,21191463202.2,8.34,2540942830.0,5.304160153395877e-17,True,1,2540942830,CROSS_FIELD_EXACT,relative_error=5.304e-17
600483.SH,2023-08-31,2540942830,20937368919.2,8.24,2540942830.0,1.0569853023442476e-17,True,1,2540942830,CROSS_FIELD_EXACT,relative_error=1.057e-17
600483.SH,2023-09-28,2540942830,21648832911.6,8.52,2540942830.0,2.0444973923278404e-17,True,1,2540942830,CROSS_FIELD_EXACT,relative_error=2.044e-17
600483.SH,2023-10-31,2540943727,21750478303.120003,8.56,2540943727.0,6.81717264121393e-17,True,1,2540943727,CROSS_FIELD_EXACT,relative_error=6.817e-17
600483.SH,2023-11-30,2540943727,21699659428.579998,8.54,2540943727.0,8.428535531215141e-18,True,1,2540943727,CROSS_FIELD_EXACT,relative_error=8.429e-18
600483.SH,2023-12-29,2540943727,21013604622.289997,8.27,2540943727.0,8.641546703661552e-17,True,1,2540943727,CROSS_FIELD_EXACT,relative_error=8.642e-17
600566.SH,2013-05-31,138200400,1126333260.0,8.15,138200400.0,4.359157888098774e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=4.359e-17
600566.SH,2013-06-28,138200400,1126333260.0,8.15,138200400.0,4.359157888098774e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=4.359e-17
600566.SH,2013-07-31,138200400,1126333260.0,8.15,138200400.0,4.359157888098774e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=4.359e-17
600566.SH,2013-08-30,138200400,2151780228.0,15.57,138200400.0,1.825414863866667e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=1.825e-17
600566.SH,2013-09-30,138200400,2226408444.0,16.11,138200400.0,3.528455546915457e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=3.528e-17
600566.SH,2013-10-31,138200400,1973501712.0,14.28,138200400.0,4.47821051949643e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=4.478e-17
600566.SH,2013-11-29,138200400,2230554456.0,16.14,138200400.0,3.521897079356135e-17,True,1,138200400,CROSS_FIELD_EXACT,relative_error=3.522e-17
600566.SH,2013-12-31,749024701,14935552537.94,19.94,749024701.0,2.8383796990194676e-17,True,1,749024701,CROSS_FIELD_EXACT,relative_error=2.838e-17
600566.SH,2014-01-30,749024701,16568426386.12,22.12,749024701.0,5.6815120496751525e-18,True,1,749024701,CROSS_FIELD_EXACT,relative_error=5.682e-18
600566.SH,2014-02-28,781454701,18653323712.87,23.87,781454700.9999999,9.893545023674705e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=9.894e-17
600566.SH,2014-03-31,781454701,15863530430.300001,20.3,781454701.0,3.7138783271160353e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=3.714e-17
600566.SH,2014-04-30,781454701,16441806909.039999,21.04,781454701.0,1.9797880945686683e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=1.980e-17
600566.SH,2014-05-30,781454701,16871606994.59,21.59,781454701.0,1.5626210528360695e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=1.563e-17
600566.SH,2014-06-30,781454701,18051603593.100002,23.1,781454701.0,6.527422514325153e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=6.527e-17
600566.SH,2014-07-31,781454701,15801014054.22,20.22,781454701.0,1.276915704833665e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=1.277e-17
600566.SH,2014-08-29,781454701,17184188874.989998,21.99,781454701.0,5.322713576633939e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=5.323e-17
600566.SH,2014-09-30,781454701,19153454721.510002,24.51,781454701.0,4.7754578355846716e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=4.775e-17
600566.SH,2014-10-31,781454701,18543920054.73,23.73,781454701.0,4.2651060089419393e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=4.265e-17
600566.SH,2014-11-28,781454701,16949752464.69,21.69,781454701.0,2.7457917972552993e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=2.746e-17
600566.SH,2014-12-31,781454701,15394657609.699999,19.7,781454701.0,3.826991372611956e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=3.827e-17
600566.SH,2015-01-30,781454701,16160483216.68,20.68,781454701.0,3.2627648482331475e-17,True,1,781454701,CROSS_FIELD_EXACT,relative_error=3.263e-17
