ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag
600566.SH,2023-07-31,921716660,,2023-07-31,wind_total_shares_month_end,
600566.SH,2023-08-31,921996660,,2023-08-31,wind_total_shares_month_end,
600566.SH,2023-11-30,921806660,,2023-11-30,wind_total_shares_month_end,
600567.SH,2013-05-31,1586016989,,2013-05-31,wind_total_shares_month_end,
600567.SH,2013-08-30,3176733412,,2013-08-30,wind_total_shares_month_end,
600567.SH,2013-11-29,3766939612,,2013-11-29,wind_total_shares_month_end,
600567.SH,2016-07-29,4551253337,,2016-07-29,wind_total_shares_month_end,
600567.SH,2018-01-31,4570313337,,2018-01-31,wind_total_shares_month_end,
600567.SH,2018-08-31,4570655837,,2018-08-31,wind_total_shares_month_end,
600567.SH,2019-01-31,4584584837,,2019-01-31,wind_total_shares_month_end,
600567.SH,2019-07-31,4584706679,,2019-07-31,wind_total_shares_month_end,
600567.SH,2019-09-30,4584711167,,2019-09-30,wind_total_shares_month_end,
600567.SH,2019-12-31,4584723439,,2019-12-31,wind_total_shares_month_end,
600567.SH,2020-03-31,4595524644,,2020-03-31,wind_total_shares_month_end,
600567.SH,2020-06-30,4595545854,,2020-06-30,wind_total_shares_month_end,
600567.SH,2020-09-30,4595590029,,2020-09-30,wind_total_shares_month_end,
600567.SH,2020-12-31,4595602408,,2020-12-31,wind_total_shares_month_end,
600567.SH,2021-03-31,4615900635,,2021-03-31,wind_total_shares_month_end,
600567.SH,2021-06-30,4615929240,,2021-06-30,wind_total_shares_month_end,
600567.SH,2021-09-30,4616156375,,2021-09-30,wind_total_shares_month_end,
600567.SH,2021-11-30,4616164274,,2021-11-30,wind_total_shares_month_end,
600567.SH,2021-12-31,4616166707,,2021-12-31,wind_total_shares_month_end,
600567.SH,2022-03-31,4616175806,,2022-03-31,wind_total_shares_month_end,
600567.SH,2022-05-31,4616176112,,2022-05-31,wind_total_shares_month_end,
600567.SH,2022-06-30,4616177365,,2022-06-30,wind_total_shares_month_end,
600567.SH,2022-07-29,4616178633,,2022-07-29,wind_total_shares_month_end,
600567.SH,2022-09-30,4616178950,,2022-09-30,wind_total_shares_month_end,
600567.SH,2023-03-31,4616194779,,2023-03-31,wind_total_shares_month_end,
600567.SH,2023-05-31,4470565176,,2023-05-31,wind_total_shares_month_end,
600567.SH,2023-06-30,4470566008,,2023-06-30,wind_total_shares_month_end,
600567.SH,2023-10-31,4470566851,,2023-10-31,wind_total_shares_month_end,
600603.SH,2013-05-31,194641920,,2013-05-31,wind_total_shares_month_end,
600603.SH,2016-12-30,523755844,,2016-12-30,wind_total_shares_month_end,
600603.SH,2017-04-28,627767731,,2017-04-28,wind_total_shares_month_end,
600603.SH,2017-09-29,878874823,,2017-09-29,wind_total_shares_month_end,
600603.SH,2018-05-31,1230424752,,2018-05-31,wind_total_shares_month_end,
600603.SH,2018-07-31,1253524752,,2018-07-31,wind_total_shares_month_end,
600603.SH,2018-12-28,1252704752,,2018-12-28,wind_total_shares_month_end,
600603.SH,2019-05-31,1255826752,,2019-05-31,wind_total_shares_month_end,
600603.SH,2019-07-31,1254766752,,2019-07-31,wind_total_shares_month_end,
600603.SH,2020-03-31,1259896247,,2020-03-31,wind_total_shares_month_end,
600603.SH,2020-09-30,1257026847,,2020-09-30,wind_total_shares_month_end,
600603.SH,2021-12-31,1256952847,,2021-12-31,wind_total_shares_month_end,
600603.SH,2022-04-29,1253034847,,2022-04-29,wind_total_shares_month_end,
600603.SH,2022-06-30,1254820847,,2022-06-30,wind_total_shares_month_end,
600603.SH,2023-05-31,1230550151,,2023-05-31,wind_total_shares_month_end,
600629.SH,2013-05-31,347999813,,2013-05-31,wind_total_shares_month_end,
600629.SH,2015-09-30,359060190,,2015-09-30,wind_total_shares_month_end,
600629.SH,2017-03-31,432208132,,2017-03-31,wind_total_shares_month_end,
600629.SH,2019-03-29,445127532,,2019-03-29,wind_total_shares_month_end,
600629.SH,2019-06-28,534153038,,2019-06-28,wind_total_shares_month_end,
600629.SH,2020-10-30,533901758,,2020-10-30,wind_total_shares_month_end,
