ts_code,effective_date,planned_action,reason,total_shares,available_date,source,old_total_shares,old_par_value,old_available_date,old_source,old_quality_flag,old_updated_at
000498.SZ,2022-04-29,INSERT,no canonical row for this key,1560031803,2022-04-29,wind_total_shares_month_end,,,,,,
000498.SZ,2022-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1560566803,2022-06-30,wind_total_shares_month_end,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2022-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1560629303,2022-09-30,wind_total_shares_month_end,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2023-01-31,INSERT,no canonical row for this key,1560629304,2023-01-31,wind_total_shares_month_end,,,,,,
000498.SZ,2023-02-28,INSERT,no canonical row for this key,1560987803,2023-02-28,wind_total_shares_month_end,,,,,,
000498.SZ,2023-12-29,INSERT,no canonical row for this key,1560993456,2023-12-29,wind_total_shares_month_end,,,,,,
000547.SZ,2013-05-31,INSERT,no canonical row for this key,834878240,2013-05-31,wind_total_shares_month_end,,,,,,
000547.SZ,2014-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,948585586,2014-06-30,wind_total_shares_month_end,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000547.SZ,2015-07-31,INSERT,no canonical row for this key,1429628897,2015-07-31,wind_total_shares_month_end,,,,,,
000547.SZ,2018-12-28,INSERT,no canonical row for this key,1565247615,2018-12-28,wind_total_shares_month_end,,,,,,
000547.SZ,2019-01-31,INSERT,no canonical row for this key,1605678881,2019-01-31,wind_total_shares_month_end,,,,,,
000547.SZ,2020-08-31,INSERT,no canonical row for this key,1605421646,2020-08-31,wind_total_shares_month_end,,,,,,
000547.SZ,2021-08-31,INSERT,no canonical row for this key,1603685112,2021-08-31,wind_total_shares_month_end,,,,,,
000547.SZ,2023-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1598468269,2023-03-31,wind_total_shares_month_end,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000603.SZ,2013-05-31,INSERT,no canonical row for this key,504988667,2013-05-31,wind_total_shares_month_end,,,,,,
000603.SZ,2016-07-29,INSERT,no canonical row for this key,722625223,2016-07-29,wind_total_shares_month_end,,,,,,
000603.SZ,2018-01-31,INSERT,no canonical row for this key,689969346,2018-01-31,wind_total_shares_month_end,,,,,,
000620.SZ,2013-05-31,INSERT,no canonical row for this key,1597970649,2013-05-31,wind_total_shares_month_end,,,,,,
