pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2018-06-29,exposure,3530,63,1021,3467,2509,5.234984647861527e-16,4.0482033238193117e-16,2.1066429780469387e-16,5.234984647861527e-16,0,0.0,0.0025,-0.8324040594118305,-0.049208037689512395,-0.44080604855067146,0,[]
legal_deadline,2018-07-31,exposure,3534,53,1025,3481,2509,3.5855168154037055e-16,6.396834325254675e-16,1.7052060276618311e-16,6.396834325254675e-16,0,0.0,0.0025,-0.83765634056319,-0.047734681864119735,-0.4426955112136549,0,[]
legal_deadline,2018-08-31,exposure,3540,44,998,3496,2542,2.9617035331407465e-16,4.782920443073379e-16,2.0886236628473197e-16,4.782920443073379e-16,0,0.0,0.0025,-0.8269638375126083,-0.018278504600524707,-0.4226211710565665,0,[]
legal_deadline,2018-09-28,exposure,3551,50,1009,3501,2542,2.913548018244002e-16,4.676794913116642e-16,2.2061421298105961e-16,4.676794913116642e-16,0,0.0,0.0025,-0.8406967028311279,0.00013536071014760408,-0.4202806710604901,0,[]
legal_deadline,2018-10-31,exposure,3556,46,904,3510,2652,2.230879264948526e-16,7.337415611665879e-16,1.967604442937719e-16,7.337415611665879e-16,0,0.0,0.0025,-0.8432506847226371,0.018346636846939973,-0.4124520239378486,0,[]
legal_deadline,2018-11-30,exposure,3564,46,912,3518,2652,2.652315232852584e-16,1.3987505794927364e-15,1.4759118218998194e-16,1.3987505794927364e-15,0,0.0,0.0025,-0.8379333500372232,-0.00970057336417808,-0.42381696170070066,0,[]
legal_deadline,2018-12-28,exposure,3569,43,918,3526,2651,4.0293765337621214e-16,6.157101295268438e-16,1.7137235027280011e-16,6.157101295268438e-16,1,0.0002835270768358378,0.0025,-0.8737537825283985,-0.04368310287868876,-0.45871844270354367,0,[]
legal_deadline,2019-01-31,exposure,3583,51,933,3532,2650,4.210414217993546e-16,1.7541447263960115e-15,1.5675586898789618e-16,1.7541447263960115e-15,0,0.0,0.0025,-0.8823463909233391,-0.057017023246317425,-0.46968170708482826,0,[]
legal_deadline,2019-02-28,exposure,3589,51,939,3538,2650,3.3417252088943535e-16,1.6635055321478414e-15,1.9202240853102424e-16,1.6635055321478414e-15,0,0.0,0.0025,-0.8688576067513494,-0.06134304980487793,-0.46510032827811365,0,[]
legal_deadline,2019-03-29,exposure,3600,51,950,3549,2650,3.4402642112117896e-16,1.9698390443409776e-15,3.62660884718522e-16,1.9698390443409776e-15,0,0.0,0.0025,-0.8898858621155834,-0.0702211261102476,-0.4800534941129155,0,[]
