date,factor_value
2022-12-09,-0.5744
2022-12-08,-0.6354
2022-12-07,-0.6801
2022-12-06,-0.7242
2022-12-05,-0.7460
2022-12-02,-0.7259
2022-12-01,-0.7040
2022-11-30,-0.6414
2022-11-29,-0.5766
2022-11-28,-0.4670
2022-11-25,-0.3361
2022-11-24,-0.2104
2022-11-23,-0.1337
2022-11-22,-0.0293
2022-11-21,0.0403
2022-11-18,0.0445
2022-11-17,0.0759
2022-11-16,0.1568
2022-11-15,0.2609
2022-11-14,0.3819
2022-11-11,0.5391
2022-11-10,0.6533
2022-11-09,0.6983
2022-11-08,0.7207
2022-11-07,0.6962
2022-11-04,0.6561
2022-11-03,0.6415
2022-11-02,0.6515
2022-11-01,0.6638
2022-10-31,0.6435
2022-10-28,0.6441
2022-10-27,0.6140
2022-10-26,0.6112
2022-10-25,0.5450
2022-10-24,0.5302
2022-10-21,0.4973
2022-10-20,0.4641
2022-10-19,0.3498
2022-10-18,0.2784
2022-10-17,0.1881
2022-10-14,0.0637
2022-10-13,-0.0035
2022-10-12,0.0072
2022-10-11,-0.0292
2022-10-10,-0.0300
2022-09-30,-0.0208
2022-09-29,-0.0937
2022-09-28,-0.2088
2022-09-27,-0.3008
2022-09-26,-0.3914
2022-09-23,-0.4711
2022-09-22,-0.5392
2022-09-21,-0.5951
2022-09-20,-0.6110
2022-09-19,-0.6519
2022-09-16,-0.6800
2022-09-15,-0.6948
2022-09-14,-0.6991
2022-09-13,-0.7313
2022-09-09,-0.7590
2022-09-08,-0.7865
2022-09-07,-0.8004
2022-09-06,-0.8150
2022-09-05,-0.8039
2022-09-02,-0.7839
2022-09-01,-0.7360
2022-08-31,-0.7046
2022-08-30,-0.6466
2022-08-29,-0.5528
2022-08-26,-0.4623
2022-08-25,-0.4279
2022-08-24,-0.3440
2022-08-23,-0.2979
2022-08-22,-0.2828
2022-08-19,-0.2813
2022-08-18,-0.3094
2022-08-17,-0.3090
2022-08-16,-0.2398
2022-08-15,-0.1515
2022-08-12,-0.1122
2022-08-11,-0.0568
2022-08-10,-0.1048
2022-08-09,-0.2069
2022-08-08,-0.3363
2022-08-05,-0.4357
2022-08-04,-0.5090
2022-08-03,-0.5393
2022-08-02,-0.5599
2022-08-01,-0.6290
2022-07-29,-0.6695
2022-07-28,-0.6806
2022-07-27,-0.6439
2022-07-26,-0.6193
2022-07-25,-0.5621
2022-07-22,-0.5093
2022-07-21,-0.3686
2022-07-20,-0.2574
2022-07-19,-0.1756
2022-07-18,-0.1414
2022-07-15,-0.0940
2022-07-14,-0.0530
2022-07-13,0.0167
2022-07-12,0.0443
2022-07-11,0.1098
2022-07-08,0.1652
2022-07-07,0.1752
2022-07-06,0.1784
2022-07-05,0.2224
2022-07-04,0.3483
2022-07-01,0.4899
2022-06-30,0.5732
2022-06-29,0.5881
2022-06-28,0.6069
2022-06-27,0.5468
2022-06-24,0.4907
2022-06-23,0.4306
2022-06-22,0.3800
2022-06-21,0.3342
2022-06-20,0.3325
2022-06-17,0.3304
2022-06-16,0.3155
2022-06-15,0.3150
2022-06-14,0.3829
2022-06-13,0.4333
2022-06-10,0.4735
2022-06-09,0.5215
2022-06-08,0.5544
2022-06-07,0.5578
2022-06-06,0.5270
2022-06-02,0.5136
2022-06-01,0.5306
2022-05-31,0.5631
2022-05-30,0.5695
2022-05-27,0.6057
2022-05-26,0.6223
2022-05-25,0.6070
2022-05-24,0.6178
2022-05-23,0.6317
2022-05-20,0.6297
2022-05-19,0.6217
2022-05-18,0.6578
2022-05-17,0.6502
2022-05-16,0.6049
2022-05-13,0.5545
2022-05-12,0.4679
2022-05-11,0.3456
2022-05-10,0.2138
2022-05-09,0.1183
2022-05-06,0.0397
2022-05-05,-0.0830
2022-04-29,-0.2292
2022-04-28,-0.3457
2022-04-27,-0.4231
2022-04-26,-0.5302
2022-04-25,-0.5533
2022-04-22,-0.5568
2022-04-21,-0.5809
2022-04-20,-0.6365
2022-04-19,-0.6508
2022-04-18,-0.6649
2022-04-15,-0.6838
2022-04-14,-0.6434
2022-04-13,-0.5699
2022-04-12,-0.4807
2022-04-11,-0.3780
2022-04-08,-0.2419
2022-04-07,-0.1624
2022-04-06,-0.1685
2022-04-01,-0.2035
2022-03-31,-0.2069
2022-03-30,-0.1652
2022-03-29,-0.0855
2022-03-28,0.0778
2022-03-25,0.2786
2022-03-24,0.4230
2022-03-23,0.5265
2022-03-22,0.6130
2022-03-21,0.6555
2022-03-18,0.6760
2022-03-17,0.7278
2022-03-16,0.7592
2022-03-15,0.7625
2022-03-14,0.7766
2022-03-11,0.6691
2022-03-10,0.5386
2022-03-09,0.4044
2022-03-08,0.3369
2022-03-07,0.2937
2022-03-04,0.3814
2022-03-03,0.4821
2022-03-02,0.5643
2022-03-01,0.5833
2022-02-28,0.4636
2022-02-25,0.2891
2022-02-24,0.1338
2022-02-23,0.0980
2022-02-22,0.0207
2022-02-21,0.1146
2022-02-18,0.1257
2022-02-17,0.0648
2022-02-16,-0.1004
2022-02-15,-0.1858
2022-02-14,-0.3732
2022-02-11,-0.4391
2022-02-10,-0.4363
2022-02-09,-0.4170
2022-02-08,-0.4053
2022-02-07,-0.3213
2022-01-28,-0.2773
2022-01-27,-0.2858
2022-01-26,-0.3089
2022-01-25,-0.3149
2022-01-24,-0.3393
2022-01-21,-0.3412
2022-01-20,-0.3580
2022-01-19,-0.4013
2022-01-18,-0.4779
2022-01-17,-0.5757
2022-01-14,-0.6608
2022-01-13,-0.7081
2022-01-12,-0.7067
2022-01-11,-0.6742
2022-01-10,-0.6101
2022-01-07,-0.5372
2022-01-06,-0.4651
2022-01-05,-0.4311
2022-01-04,-0.4399
2021-12-31,-0.4914
2021-12-30,-0.5497
2021-12-29,-0.6096
2021-12-28,-0.6468
2021-12-27,-0.6845
2021-12-24,-0.7071
2021-12-23,-0.7127
2021-12-22,-0.6976
2021-12-21,-0.6868
2021-12-20,-0.6242
2021-12-17,-0.5507
2021-12-16,-0.5233
2021-12-15,-0.5146
2021-12-14,-0.5378
2021-12-13,-0.6204
2021-12-10,-0.6997
2021-12-09,-0.7502
2021-12-08,-0.7782
2021-12-07,-0.7215
2021-12-06,-0.6100
2021-12-03,-0.4241
2021-12-02,-0.2939
2021-12-01,-0.1489
2021-11-30,-0.0313
2021-11-29,0.0587
2021-11-26,0.0831
2021-11-25,0.1414
2021-11-24,0.1940
2021-11-23,0.2174
2021-11-22,0.2443
