ts_code,list_date,first_eff
603336.SH,2016-11-24,2025-04-01
603345.SH,2017-02-22,2025-04-01
603360.SH,2017-02-06,2025-04-01
603416.SH,2016-12-21,2025-04-01
603499.SH,2017-10-16,2025-04-01
603505.SH,2017-05-03,2025-04-01
603507.SH,2017-11-06,2025-04-01
603535.SH,2017-08-08,2025-04-01
603538.SH,2017-04-07,2025-04-01
603578.SH,2017-03-06,2025-04-01
603579.SH,2017-01-11,2025-04-01
603585.SH,2016-12-14,2025-04-01
603596.SH,2018-04-27,2025-04-01
603601.SH,2015-01-22,2025-04-01
603660.SH,2016-12-01,2025-04-01
603679.SH,2017-06-21,2025-04-01
603681.SH,2019-03-26,2025-04-01
603683.SH,2017-10-20,2025-04-01
603685.SH,2017-11-27,2025-04-01
603689.SH,2017-01-10,2025-04-01
603716.SH,2016-10-31,2025-04-01
603730.SH,2017-07-28,2025-04-01
603737.SH,2016-06-03,2025-04-01
603757.SH,2017-07-11,2025-04-01
603776.SH,2017-08-17,2025-04-01
603799.SH,2015-01-29,2025-04-01
603809.SH,2017-11-28,2025-04-01
603829.SH,2017-10-17,2025-04-01
603861.SH,2016-03-22,2025-04-01
603867.SH,2019-06-27,2025-04-01
603871.SH,2018-02-06,2025-04-01
603881.SH,2017-02-08,2025-04-01
603888.SH,2016-10-28,2025-04-01
603901.SH,2015-05-29,2025-04-01
603906.SH,2017-04-10,2025-04-01
603966.SH,2017-01-25,2025-04-01
603982.SH,2019-05-22,2025-04-01
603986.SH,2016-08-18,2025-04-01
603991.SH,2017-03-08,2025-04-01
603993.SH,2012-10-09,2025-04-01
605009.SH,2020-09-11,2025-04-01
605016.SH,2021-04-21,2025-04-01
605020.SH,2021-07-09,2025-04-01
605088.SH,2020-08-17,2025-04-01
605090.SH,2021-05-25,2025-04-01
605117.SH,2021-04-20,2025-04-01
605128.SH,2020-09-15,2025-04-01
605133.SH,2021-02-24,2025-04-01
605189.SH,2021-05-28,2025-04-01
605218.SH,2020-09-28,2025-04-01
605228.SH,2021-01-20,2025-04-01
605319.SH,2021-06-07,2025-04-01
605333.SH,2020-08-18,2025-04-01
