ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
600398.SH,2013-08-30,False,2000-12-28,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600483.SH,2013-08-30,False,2004-05-31,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600566.SH,2013-08-30,False,2001-08-22,,15.57,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600567.SH,2013-08-30,False,2001-12-18,,2.13,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600603.SH,2013-08-30,False,1992-01-13,,5.47,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600629.SH,2013-08-30,False,1993-02-09,,8.61,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600666.SH,2013-08-30,False,1993-07-12,,6.92,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600681.SH,2013-08-30,False,1993-10-18,,4.6,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600862.SH,2013-08-30,False,1994-05-20,,4.11,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
601360.SH,2013-08-30,False,2012-01-16,,7.73,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
603993.SH,2013-08-30,False,2012-10-09,,7.58,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000035.SZ,2013-09-30,False,1994-04-08,,10.28,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000156.SZ,2013-09-30,False,2000-09-06,,30.63,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-09-30,False,2000-05-29,,3.21,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-09-30,False,1997-06-09,,4.55,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-09-30,False,1993-11-30,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000603.SZ,2013-09-30,False,1996-08-23,,14.13,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-09-30,False,1996-10-29,,4.86,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-09-30,False,1996-12-17,,15.83,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000681.SZ,2013-09-30,False,1997-01-21,,17.22,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000813.SZ,2013-09-30,False,1998-05-19,,8.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000820.SZ,2013-09-30,False,1998-06-30,,10.44,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000863.SZ,2013-09-30,False,1997-09-25,,6.01,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000908.SZ,2013-09-30,False,1999-02-03,,7.73,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002019.SZ,2013-09-30,False,2004-07-13,,17.63,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
