phase,n_sessions,kind,delta,method,rep,data_seed,p_C1,p_C2,estimate_C1,estimate_C2,reject_any,reject_C2,positive_C1
A,2016,iid,0.0,group_t8,284,91719284,0.5339584629566412,0.5339584629566412,-0.14169245037942796,0.2960355388487464,False,False,False
A,2016,iid,0.0,sn_if,284,91719284,0.4249515009699806,0.4249515009699806,-0.11679934734042446,0.3104577509980868,False,False,False
A,2016,iid,0.0,group_t4,285,91719285,0.6300206233129041,0.7760312950851956,-0.2895396734090719,-0.08449789666297661,False,False,False
A,2016,iid,0.0,group_t8,285,91719285,0.8069789498468245,0.8069789498468245,-0.27704061062696284,-0.07966504326019674,False,False,False
A,2016,iid,0.0,sn_if,285,91719285,0.9540209195816084,0.9540209195816084,-0.2865963013184548,-0.0663951478615542,False,False,False
A,2016,iid,0.0,group_t4,286,91719286,0.9591785424477357,0.9886458426656956,-0.21002345624381805,0.0016136909695300405,False,False,False
A,2016,iid,0.0,group_t8,286,91719286,0.6429353303151608,0.9250885139274236,-0.22534413041380763,0.017487608216399983,False,False,False
A,2016,iid,0.0,sn_if,286,91719286,0.9407811843763125,0.9943401131977361,-0.21292992680748607,0.0009671854091229948,False,False,False
A,2016,iid,0.0,group_t4,287,91719287,0.061646593905375226,0.061646593905375226,0.33862849563273933,-0.29572492701479336,False,False,False
A,2016,iid,0.0,group_t8,287,91719287,0.21763550882853858,0.21763550882853858,0.34079615494139315,-0.29080794948316857,False,False,False
A,2016,iid,0.0,sn_if,287,91719287,0.14371712565748684,0.14371712565748684,0.3470109179075396,-0.2844458730855203,False,False,False
A,2016,iid,0.0,group_t4,288,91719288,0.7454235163700016,0.7454235163700016,0.1864276393703079,-0.2170019975346278,False,False,False
A,2016,iid,0.0,group_t8,288,91719288,0.6292044553034609,0.6292044553034609,0.20345539444708652,-0.21288738883832614,False,False,False
A,2016,iid,0.0,sn_if,288,91719288,0.5179496410071799,0.5179496410071799,0.19143548993993675,-0.19460687904153462,False,False,False
A,2016,iid,0.0,group_t4,289,91719289,0.3421944835605865,0.3421944835605865,0.3025820543166363,-0.4154917562883579,False,False,False
A,2016,iid,0.0,group_t8,289,91719289,0.1695436803724198,0.1695436803724198,0.31262224528221705,-0.4302945324321222,False,False,False
A,2016,iid,0.0,sn_if,289,91719289,0.14007719845603087,0.14007719845603087,0.3025253189528543,-0.42514563096678337,False,False,False
A,2016,iid,0.0,group_t4,290,91719290,0.8726500272290384,0.8726500272290384,0.05660492303661975,-0.2212918879069255,False,False,False
A,2016,iid,0.0,group_t8,290,91719290,0.6003255605964243,0.6003255605964243,0.07766014174770236,-0.2245205802828881,False,False,False
