date,symbol,open,close,oi,settle,volume
2017-05-10,IC1712.CFE,5764.4000,5620.2000,1552,5665.8000,341
2017-05-11,IC1705.CFE,5826.0000,5827.2000,17570,5823.4000,15025
2017-05-11,IC1706.CFE,5801.0000,5780.0000,12406,5770.2000,4713
2017-05-11,IC1709.CFE,5675.0000,5656.2000,5689,5647.2000,1194
2017-05-11,IC1712.CFE,5599.8000,5594.4000,1655,5581.6000,348
2017-05-12,IC1705.CFE,5834.0000,5827.2000,15892,5820.6000,12302
2017-05-12,IC1706.CFE,5791.4000,5771.4000,13267,5766.6000,3674
2017-05-12,IC1709.CFE,5648.0000,5649.6000,5669,5640.2000,846
2017-05-12,IC1712.CFE,5588.0000,5579.8000,1686,5572.4000,269
2017-05-15,IC1705.CFE,5852.6000,5876.8000,13953,5876.6000,10723
2017-05-15,IC1706.CFE,5800.0000,5826.8000,14479,5823.0000,4084
2017-05-15,IC1709.CFE,5674.4000,5690.0000,5739,5685.2000,1103
2017-05-15,IC1712.CFE,5600.0000,5600.0000,1640,5599.4000,284
2017-05-16,IC1705.CFE,5865.0000,6009.8000,11481,5991.2000,12510
2017-05-16,IC1706.CFE,5819.8000,5973.6000,17479,5952.4000,7151
2017-05-16,IC1709.CFE,5680.0000,5850.0000,5769,5826.0000,1158
2017-05-16,IC1712.CFE,5588.8000,5765.0000,1610,5733.0000,246
2017-05-17,IC1705.CFE,6008.8000,6020.0000,8095,6021.4000,8392
2017-05-17,IC1706.CFE,5967.6000,5981.6000,19626,5982.8000,7182
2017-05-17,IC1709.CFE,5838.0000,5871.0000,5885,5869.2000,1006
2017-05-17,IC1712.CFE,5763.0000,5778.0000,1683,5773.0000,276
2017-05-18,IC1705.CFE,5980.8000,5960.2000,4519,5970.0000,6604
2017-05-18,IC1706.CFE,5940.0000,5920.0000,23989,5926.0000,10683
2017-05-18,IC1709.CFE,5839.8000,5817.0000,6070,5821.0000,796
2017-05-18,IC1712.CFE,5745.2000,5720.4000,1718,5727.4000,222
2017-05-19,IC1705.CFE,5970.0000,5964.0000,0,5963.4400,3975
2017-05-19,IC1706.CFE,5930.0000,5913.6000,25906,5916.4000,11508
2017-05-19,IC1709.CFE,5831.0000,5807.2000,6290,5808.4000,820
2017-05-19,IC1712.CFE,5734.0000,5718.8000,1723,5717.6000,137
